Indonesian	Arabic	Croatian	Thai	Slovene	Finnish	Portuguese	Japanese	Polish	Greek 	Chinese 	English 	Spanish 
keluarga	عشيرة	rod	None	rodovina	None	família	None	domowi	οικου	家	house	familia
kaum	لبني	rodovima	None	očetovin	None	paternas	None	synów	υιων	None	the sons	paternas
leluhurmu	آبائكم	tvoji oci	None	očetov	koonneet	pais	None	ojców	πατερων	們 列祖	your fathers	vuestros padres
nenek moyangmu	لآبائكم	None	None	None	isienne	None	None	None	None	列祖	None	None
nenek moyang	آبائي	ocima	None	očetov	isämme	None	None	ojcowie	None	祖宗	None	None
leluhur	آبائهم	očevima	None	očeti	isillensä	pais	None	ojcami	των πατερων	列祖	fathers	sus padres
kepada leluhur mereka	آباءهم	None	None	None	None	None	None	None	None	None	None	None
pula dikenal nenek moyangmu	آباؤك	None	None	None	None	None	None	None	None	None	None	None
Nenek moyang kami	آباؤنا	None	None	None	None	None	None	None	None	None	None	None
nenek moyang kami	آباؤنا	None	None	None	None	None	None	None	None	None	None	None
leluhurnya	آبائه	None	None	očetov svojih	isänsä olivat tehneet	pais haviam feito	None	przodków	πατηρ αυτου	他 祖	his fathers	hecho sus padres
makam leluhurmu	آبائك	None	None	None	None	None	None	None	None	None	None	None
nenek moyang kita	آبائنا	None	None	None	None	None	None	None	None	None	None	None
pekuburan	قبور	sahranjivanje	None	očeti	None	sepulturas	None	None	None	他 列 祖	graves	sepultura
leluhurku	آبائي	None	None	None	isäni	meus pais	None	None	πατερες	我 列 祖 所	my fathers	mis padres
saya datang	آتي	None	None	pridem	None	None	None	None	ελθω	None	None	None
akan datang kepadamu	آتيك	None	None	None	None	None	None	None	None	None	None	None
kesalahan	ذنب	krivica	None	krivice	None	crime	None	nieprawości	None	None	iniquity	None
Ahas	ثم اضطجع آحاز	kralj Ahaz	None	Ahazu	Mutta Aahas	Acaz	None	Ezechyjasz	ο Αχαζ	亞哈斯	Ahaz	rey Acaz
lain	بعضا	drugoga	None	drugega	toinen	outro	None	None	αλλον	別	other	otros
akhirnya	اخيرا	naposljetku	None	konec	lopulta	último	None	końca	None	末 後	latter end	final
kesudahannya	آخرتها	None	None	None	None	None	None	None	None	結局	the latter end of	None
kesudahan	آخرتهم	None	None	None	loppunsa	None	None	None	None	結 局	their latter end	None
fana	آدم	smrtnom	None	obličje proti	None	mortal	None	synu	υιε	子 阿	None	pon
