synset	lemma	annotation	goodness label
01777210-v	ganal	DELETE	O
01072565-n	kepuasan	KEEP	O
02344381-v	hadiahkan	KEEP	X
07576182-n	semi-prasmanan	KEEP	None
13778671-n	parkir	KEEP	O
06308765-n	akhiran	KEEP	O
02124253-a	berfungsi	KEEP	O
01728476-a	yang lalu	KEEP	X
03061081-a	disiplin	KEEP	O
10735298-n	tiran	KEEP	O
07707451-n	sayur	KEEP	Y
01179865-v	memakan	DELETE	O
01629958-v	hadirkan	KEEP	None
00649481-v	menjelajah	KEEP	O
90000335-n	wanton mee	KEEP	None
00588797-a	sepuas	KEEP	None
80001382-x	oh	KEEP	None
03670849-n	dawai	DELETE	O
12201580-n	cokelat	KEEP	O
01010271-a	terakhir	KEEP	Y
07007945-n	drama	KEEP	Y
02924116-n	no	KEEP	None
01647229-v	dirikan	KEEP	X
02395115-a	enak	KEEP	O
02068277-a	berbeda	KEEP	None
05651971-n	panca-indera	KEEP	None
01745846-a	halus	KEEP	O
90000026-n	Dilindungi Hak	KEEP	None
00037641-r	begitu	KEEP	O
02267686-a	kapan	KEEP	None
02169891-v	mendengarkan	KEEP	None
10112591-n	teman	KEEP	O
11464143-n	gravitasi	KEEP	None
03306207-n	ekspor	KEEP	O
08566028-n	ujung	KEEP	O
00770437-v	membuat	KEEP	O
05981230-n	pangsa	KEEP	None
00933420-n	kerajinan	KEEP	None
00046344-n	laga	KEEP	None
04952944-n	cahaya	KEEP	O
01090335-v	tengkar	KEEP	Y
09328904-n	danau	KEEP	O
07916041-n	martini	KEEP	O
02599636-v	mengarik	DELETE	O
00892413-n	lokakarya	KEEP	None
02397732-a	berbumbu	KEEP	None
01716882-v	dipersembahkan	KEEP	X
07736692-n	spinach	KEEP	None
03542333-n	hotel	KEEP	Y
08394922-n	ming	KEEP	None
03291819-n	amplop	KEEP	X
07812184-n	bumbu	KEEP	L
06706676-n	medali	KEEP	Y
00524682-v	menjelma menjadi	DELETE	X
07060167-n	musik rakyat	KEEP	O
00327145-v	tim	KEEP	None
00492745-r	sesungguh	KEEP	None
09917593-n	anak muda	KEEP	O
00579881-a	berani	KEEP	L
13793330-n	penghubung	KEEP	O
00035603-v	memandikan	KEEP	O
00155143-v	tambah	KEEP	Y
01156834-v	mencernakan	DELETE	O
15162210-n	festival	KEEP	None
01233156-n	kunjung-mengunjungi	KEEP	None
80000605-r	seolah	KEEP	None
05725527-n	panas	KEEP	O
08588152-n	sebelah dlm,dlm	DELETE	X
01410606-a	bagai	KEEP	O
03800933-n	musik alat	KEEP	None
13903576-n	pinggir	KEEP	O
04763925-n	keunikan	KEEP	O
02616386-v	merupakan	KEEP	Y
13790912-n	per	KEEP	None
13945919-n	status	KEEP	Y
00927017-a	yang masih ada	KEEP	None
03141609-a	‘ras’	KEEP	None
01161233-a	memfitnah	KEEP	None
01999798-v	ke	DELETE	O
07006951-n	produksi	KEEP	Y
01798936-v	mengecewakan	KEEP	Y
90000321-n	thaipusam	KEEP	None
05022457-n	kelenturan	KEEP	O
00378664-v	membakar	KEEP	O
00599992-v	membaca	DELETE	O
03299261-n	dan sebagainya	KEEP	X
09945319-n	komunis	KEEP	O
00214761-r	menarik	KEEP	None
01740207-a	patriotik	KEEP	O
00305821-r	suntuk	KEEP	L
07020538-n	tari-tarian	KEEP	Y
00310666-n	tur	KEEP	O
06887726-n	pameran	KEEP	O
14006945-n	laga	KEEP	None
02620587-v	terdiri daripada	DELETE	X
00061677-r	tiba-tiba	KEEP	O
01590484-a	bangsawan	KEEP	O
09816771-n	rekan	KEEP	O
90000126-n	crystal jade kitchen	KEEP	None
00001740-n	hakikat	DELETE	O
90000090-n	semenanjung melayu	KEEP	None
02655135-v	berada	KEEP	O
01849221-v	bergerak ke arah	KEEP	X
02204692-v	punya	KEEP	O
02194286-v	mencoba	KEEP	O
00120675-v	membuat	KEEP	O
13988498-n	negara	DELETE	O
03810952-n	monumen nasional	KEEP	X
01493173-a	masak	KEEP	Y
13910384-n	kawasan	DELETE	O
07464725-n	pertandingan	KEEP	Y
06099269-n	elektronik	KEEP	Y
02020590-v	peroleh	DELETE	X
80000622-a	entah	KEEP	None
00563330-n	permata tiruan	KEEP	X
01104026-a	istimewa	KEEP	X
05641959-n	keahlian	KEEP	Y
08622950-n	tempat	DELETE	O
02548820-a	basah	KEEP	O
01089778-n	dana	KEEP	Y
06282651-n	bahasa	KEEP	Y
01221542-v	lengket	KEEP	O
90000323-n	cakue	KEEP	None
09917593-n	anak	KEEP	O
00836236-v	melambangkan	KEEP	O
02951843-n	tenda	KEEP	O
14050871-n	wajah yang merah	DELETE	X
01121757-a	menakjubkan	KEEP	O
02848806-n	pisau	KEEP	L
01206318-a	atas	KEEP	O
80000120-n	kinokuniya	KEEP	None
15163797-n	hari minggu	KEEP	None
01380122-v	menyebarkan	DELETE	O
02096167-v	putar	DELETE	Y
03748162-n	city	KEEP	None
08429052-n	jajaran	KEEP	O
01687167-a	baru	KEEP	O
03895866-n	kereta	KEEP	O
00451510-a	erat	KEEP	Y
08624385-n	pos	KEEP	O
01673815-a	umum	KEEP	O
00948514-a	luar	KEEP	O
10280674-n	pesulap	KEEP	None
02702508-v	insan	DELETE	O
02448185-v	membentuk	KEEP	Y
07601999-n	cokelat	KEEP	O
03114041-n	kostum	KEEP	O
10640620-n	istri	KEEP	None
00547616-n	pukulan	KEEP	O
90000057-n	Kuil Relik Gigi Sang	KEEP	None
07019172-n	musikal	KEEP	O
02349604-a	bawah	KEEP	O
00038625-r	memang	KEEP	O
13863771-n	barisan	DELETE	O
05399847-n	darah	KEEP	Y
08871007-n	inggris	KEEP	O
07926920-n	minuman campuran anggur	DELETE	X
01085098-n	pembagian	KEEP	None
01582409-v	berbenam	DELETE	O
02621395-v	membuatkan	DELETE	O
02237782-v	memberikan	KEEP	O
15121406-n	sejarah	KEEP	Y
07626602-n	gula	DELETE	O
