synset	lemma	annotation	goodness label	confidence	language
01777210-v	ganal	DELETE	O	1	English
01072565-n	kepuasan	KEEP	O	1	English
02344381-v	hadiahkan	KEEP	X	1	English
07576182-n	semi-prasmanan	KEEP	None	1	English
13778671-n	parkir	KEEP	O	1	Portuguese
06308765-n	akhiran	KEEP	O	1	English
03061081-a	disiplin	KEEP	O	1	English
10735298-n	tiran	KEEP	O	1	English
07707451-n	sayur	KEEP	Y	1	English
01179865-v	memakan	DELETE	O	1	English
01629958-v	hadirkan	KEEP	None	1	English
00649481-v	menjelajah	KEEP	O	1	English
00588797-a	sepuas	KEEP	None	1	English
03670849-n	dawai	DELETE	O	1	Spanish
12201580-n	cokelat	KEEP	O	1	Portuguese
07007945-n	drama	KEEP	Y	1	Portuguese
02924116-n	no	KEEP	None	1	English
01647229-v	dirikan	KEEP	X	1	Finnish
02395115-a	enak	KEEP	O	1	Spanish
05651971-n	panca-indera	KEEP	None	1	English
00037641-r	begitu	KEEP	O	1	English
02169891-v	mendengarkan	KEEP	None	1	English
10112591-n	teman	KEEP	O	1	Spanish
11464143-n	gravitasi	KEEP	None	1	Finnish
03306207-n	ekspor	KEEP	O	1	English
08566028-n	ujung	KEEP	O	1	Finnish
00770437-v	membuat	KEEP	O	1	Spanish
05981230-n	pangsa	KEEP	None	1	English
00933420-n	kerajinan	KEEP	None	1	English
00046344-n	laga	KEEP	None	1	English
04952944-n	cahaya	KEEP	O	1	English
01090335-v	tengkar	KEEP	Y	1	English
09328904-n	danau	KEEP	O	1	English
07916041-n	martini	KEEP	O	1	English
02599636-v	mengarik	DELETE	O	1	English
00892413-n	lokakarya	KEEP	None	1	Polish
01716882-v	dipersembahkan	KEEP	X	1	English
07736692-n	spinach	KEEP	None	1	Polish
03542333-n	hotel	KEEP	Y	1	Polish
08394922-n	ming	KEEP	None	1	English
03291819-n	amplop	KEEP	X	1	Spanish
07812184-n	bumbu	KEEP	L	1	English
06706676-n	medali	KEEP	Y	1	Slovene
00524682-v	menjelma menjadi	DELETE	X	1	Finnish
07060167-n	musik rakyat	KEEP	O	1	English
00327145-v	tim	KEEP	None	1	English
09917593-n	anak muda	KEEP	O	1	English
13793330-n	penghubung	KEEP	O	1	English
00035603-v	memandikan	KEEP	O	1	English
00155143-v	tambah	KEEP	Y	1	English
01156834-v	mencernakan	DELETE	O	1	Spanish
01233156-n	kunjung-mengunjungi	KEEP	None	1	Greek
05725527-n	panas	KEEP	O	1	English
08588152-n	sebelah dlm,dlm	DELETE	X	1	English
01410606-a	bagai	KEEP	O	1	Spanish
03800933-n	musik alat	KEEP	None	1	English
13903576-n	pinggir	KEEP	O	1	Finnish
04763925-n	keunikan	KEEP	O	1	English
02616386-v	merupakan	KEEP	Y	1	Spanish
13790912-n	per	KEEP	None	1	Finnish
13945919-n	status	KEEP	Y	1	Polish
00927017-a	yang masih ada	KEEP	None	1	English
03141609-a	‘ras’	KEEP	None	1	Portuguese
01999798-v	ke	DELETE	O	1	English
07006951-n	produksi	KEEP	Y	1	English
01798936-v	mengecewakan	KEEP	Y	1	English
05022457-n	kelenturan	KEEP	O	2	English, Portuguese
00378664-v	membakar	KEEP	O	2	English, Thai
00599992-v	membaca	DELETE	O	1	English
09945319-n	komunis	KEEP	O	1	Spanish
00214761-r	menarik	KEEP	None	1	English
01740207-a	patriotik	KEEP	O	1	English
00305821-r	suntuk	KEEP	L	1	English
07020538-n	tari-tarian	KEEP	Y	1	English
00310666-n	tur	KEEP	O	1	English
06887726-n	pameran	KEEP	O	1	Spanish
14006945-n	laga	KEEP	None	1	English
02620587-v	terdiri daripada	DELETE	X	1	Spanish
00061677-r	tiba-tiba	KEEP	O	1	Spanish
09816771-n	rekan	KEEP	O	1	English
00001740-n	hakikat	DELETE	O	1	English
02655135-v	berada	KEEP	O	1	English
01849221-v	bergerak ke arah	KEEP	X	1	English
02204692-v	punya	KEEP	O	1	Slovene
02194286-v	mencoba	KEEP	O	1	English
00120675-v	membuat	KEEP	O	1	Spanish
13988498-n	negara	DELETE	O	1	Slovene
01493173-a	masak	KEEP	Y	1	Slovene
13910384-n	kawasan	DELETE	O	1	English
07464725-n	pertandingan	KEEP	Y	2	English, Spanish
06099269-n	elektronik	KEEP	Y	1	English
02020590-v	peroleh	DELETE	X	1	English
00563330-n	permata tiruan	KEEP	X	1	English
05641959-n	keahlian	KEEP	Y	1	English
08622950-n	tempat	DELETE	O	1	Portuguese
01089778-n	dana	KEEP	Y	1	Greek
06282651-n	bahasa	KEEP	Y	1	Portuguese
09917593-n	anak	KEEP	O	1	English
00836236-v	melambangkan	KEEP	O	1	English
02951843-n	tenda	KEEP	O	1	English
14050871-n	wajah yang merah	DELETE	X	1	English
02848806-n	pisau	KEEP	L	1	English
15163797-n	hari minggu	KEEP	None	1	English
01380122-v	menyebarkan	DELETE	O	1	English
02096167-v	putar	DELETE	Y	1	English
03748162-n	city	KEEP	None	1	English
08429052-n	jajaran	KEEP	O	1	Slovene
03895866-n	kereta	KEEP	O	2	English, Portuguese
00451510-a	erat	KEEP	Y	1	English
08624385-n	pos	KEEP	O	1	English
10280674-n	pesulap	KEEP	None	2	English, Spanish
02702508-v	insan	DELETE	O	1	English
02448185-v	membentuk	KEEP	Y	1	English
07601999-n	cokelat	KEEP	O	1	English
03114041-n	kostum	KEEP	O	1	Portuguese
10640620-n	istri	KEEP	None	1	English
00547616-n	pukulan	KEEP	O	1	English
07019172-n	musikal	KEEP	O	1	English
00038625-r	memang	KEEP	O	1	English
13863771-n	barisan	DELETE	O	1	Spanish
05399847-n	darah	KEEP	Y	2	English, Spanish
08871007-n	inggris	KEEP	O	1	Slovene
01085098-n	pembagian	KEEP	None	1	English
01582409-v	berbenam	DELETE	O	1	English
02621395-v	membuatkan	DELETE	O	1	English
