synset	language	lemma	count	goodness labels
01199697-n	English	pendengaran	1	L
14484778-n	English	pendengaran	1	O
08560785-n	English	pendengaran	1	L
00882159-n	Greek, English	pendengaran	2	L
07147267-n	English	pendengaran	1	L
05657718-n	Slovene, Spanish, Polish, Japanese, Finnish, Portuguese, English	pendengaran	7	O
02169702-v	English	pendengaran	1	X
00598954-v	English	pendengaran	1	L
02500902-v	English	pendengaran	1	L
02107442-v	English	pendengaran	1	L
02171039-v	English	pendengaran	1	L
00682744-a	English	pendengaran	1	L
05657999-n	Finnish	pendengaran	1	O
05718254-n	Greek	pendengaran	1	None
00794614-n	Portuguese, Spanish, Japanese	pendengaran	3	L
03990474-n	Finnish, English	maling	2	None
04446521-n	English	maling	1	None
13769033-n	English	maling	1	None
03991062-n	English	maling	1	None
13774404-n	English	maling	1	None
13343774-n	English	maling	1	None
05556071-n	English	maling	1	None
03991646-n	English	maling	1	None
03990834-n	English	maling	1	None
01529491-v	English	maling	1	None
02978753-n	Finnish	maling	1	None
03612965-n	Finnish	maling	1	None
03722827-n	Finnish	maling	1	None
04266660-n	Finnish	maling	1	None
07581132-n	Finnish	maling	1	None
07589458-n	Finnish	maling	1	None
01970826-v	Portuguese, Greek, Finnish, English	turun	4	O
02737187-v	English	turun	1	O
02591312-v	English	turun	1	O
00342164-v	Finnish, English	turun	2	O
00347104-v	Finnish	turun	1	None
01542668-v	Finnish	turun	1	L
01833906-v	Finnish	turun	1	None
01958452-v	Finnish, Thai, Japanese	turun	3	L
01973486-v	Finnish	turun	1	L
01978576-v	Portuguese, Finnish, Japanese	turun	3	L
01978700-v	Finnish	turun	1	L
01979702-v	Finnish	turun	1	None
01979901-v	Finnish	turun	1	X
01980476-v	Finnish	turun	1	None
01981036-v	Finnish	turun	1	L
01984119-v	Finnish	turun	1	L
01986185-v	Finnish	turun	1	O
01986367-v	Finnish	turun	1	None
01986715-v	Finnish	turun	1	None
01988458-v	Finnish	turun	1	None
02039156-v	Finnish	turun	1	None
02016062-v	Greek, Japanese	turun	2	O
02367032-v	Japanese	turun	1	None
02380009-v	Japanese	turun	1	None
02382367-v	Japanese	turun	1	None
00245059-v	Portuguese	turun	1	None
00432683-v	Portuguese	turun	1	L
01970646-v	Portuguese	turun	1	Y
00204391-v	Spanish	turun	1	L
00267855-v	Spanish	turun	1	L
00393534-v	Spanish	turun	1	L
00429060-v	Spanish	turun	1	X
00531489-v	Spanish	turun	1	None
01344537-v	Spanish	turun	1	None
01903935-v	Spanish	turun	1	L
01973125-v	Spanish	turun	1	O
01976841-v	Spanish	turun	1	L
02162310-v	Spanish	turun	1	None
02756821-v	Spanish	turun	1	O
01745722-v	Thai	turun	1	None
02491961-a	Thai	turun	1	O
00243900-v	Portuguese, Finnish, English	mempersingkat	3	None
00243749-v	Portuguese, Finnish, English	mempersingkat	3	None
00201034-v	Portuguese, Finnish	mempersingkat	2	None
00316768-v	Finnish, Japanese	mempersingkat	2	None
00560893-v	Finnish	mempersingkat	1	None
01973636-v	Finnish	mempersingkat	1	None
02352263-v	Finnish	mempersingkat	1	None
00201722-v	Japanese	mempersingkat	1	None
00233203-v	Japanese	mempersingkat	1	None
00236999-v	Japanese	mempersingkat	1	None
00240131-v	Japanese	mempersingkat	1	None
00240571-v	Japanese	mempersingkat	1	None
00241038-v	Japanese	mempersingkat	1	None
00317241-v	Portuguese, Japanese	mempersingkat	2	None
00325647-v	Japanese	mempersingkat	1	None
01800907-v	Japanese	mempersingkat	1	None
02317836-v	Japanese	mempersingkat	1	None
00359135-n	Mandarin Chinese	mempersingkat	1	None
07091587-n	Mandarin Chinese	mempersingkat	1	None
00244625-v	Portuguese	mempersingkat	1	None
00292877-v	Portuguese	mempersingkat	1	None
00431327-v	Spanish	mempersingkat	1	None
00431610-v	Spanish	mempersingkat	1	None
01007924-v	Spanish	mempersingkat	1	None
01008437-v	Spanish	mempersingkat	1	None
01665972-a	English	abaktinal	1	None
10211036-n	English	lawan	1	None
10210911-n	Finnish, English, Japanese	lawan	3	None
09961999-n	Polish	lawan	1	None
10075416-n	English	Andreas	1	None
03065414-a	English	Andreas	1	None
00325840-s	English	Andreas	1	None
10949782-n	Finnish	Andreas	1	None
10950092-n	Finnish	Andreas	1	None
10950219-n	Finnish	Andreas	1	None
10950448-n	Finnish	Andreas	1	None
10950786-n	Finnish	Andreas	1	None
10951017-n	Finnish	Andreas	1	None
10951278-n	Finnish	Andreas	1	None
10951459-n	Finnish	Andreas	1	None
10951697-n	Finnish	Andreas	1	None
06288527-n	Portuguese, English	lakuran	2	None
03986949-n	English	lakuran	1	None
06905680-n	Portuguese	lakuran	1	None
05870180-n	Spanish	lakuran	1	None
14817592-n	Spanish	lakuran	1	None
14818238-n	Spanish	lakuran	1	None
06293229-n	Thai	lakuran	1	None
07367812-n	English	hancur	1	L
07316856-n	English	hancur	1	L
09278537-n	English	hancur	1	L
07313814-n	English	hancur	1	L
01062997-n	English	hancur	1	L
00376400-n	English	hancur	1	L
15271008-n	English	hancur	1	X
14292090-n	English	hancur	1	X
07367548-n	English	hancur	1	L
07297633-n	English	hancur	1	L
00500280-n	English	hancur	1	L
00482892-n	English	hancur	1	L
00383952-n	English	hancur	1	L
00294748-n	English	hancur	1	L
00188007-n	English	hancur	1	L
00059989-n	English	hancur	1	L
00364064-v	English	hancur	1	L
00334186-v	Finnish, English	hancur	2	L
00258665-v	English	hancur	1	L
