synset	lemma	annotation	goodness label	confidence	language
01777210-v	ganal	DELETE	O	1	English
01072565-n	kepuasan	KEEP	O	1	Japanese
02344381-v	hadiahkan	KEEP	X	4	Portuguese, Finnish, English, Japanese
07576182-n	semi-prasmanan	KEEP	None	4	Spanish, Finnish, English, Japanese
13778671-n	parkir	KEEP	O	None	None
06308765-n	akhiran	KEEP	O	3	Portuguese, Spanish, Japanese
02124253-a	berfungsi	KEEP	O	None	None
01728476-a	yang lalu	KEEP	X	None	None
03061081-a	disiplin	KEEP	O	1	English
10735298-n	tiran	KEEP	O	6	Slovene, Spanish, Polish, Finnish, Portuguese, English
07707451-n	sayur	KEEP	Y	10	Slovene, Spanish, Polish, Japanese, Greek, Finnish, Thai, Portuguese, Mandarin Chinese, English
01179865-v	memakan	DELETE	O	1	English
01629958-v	hadirkan	KEEP	None	1	Finnish
00649481-v	menjelajah	KEEP	O	1	Finnish
90000335-n	wanton mee	KEEP	None	None	None
00588797-a	sepuas	KEEP	None	3	Slovene, Finnish, Polish
80001382-x	oh	KEEP	None	None	None
03670849-n	dawai	DELETE	O	1	Portuguese
12201580-n	cokelat	KEEP	O	6	Polish, Japanese, Greek, Finnish, Portuguese, English
01010271-a	terakhir	KEEP	Y	None	None
07007945-n	drama	KEEP	Y	1	Portuguese
02924116-n	no	KEEP	None	1	English
01647229-v	dirikan	KEEP	X	1	Greek
02395115-a	enak	KEEP	O	3	Portuguese, Finnish, Spanish
02068277-a	berbeda	KEEP	None	None	None
05651971-n	panca-indera	KEEP	None	2	Portuguese, English
01745846-a	halus	KEEP	O	None	None
90000026-n	Dilindungi Hak	KEEP	None	None	None
00037641-r	begitu	KEEP	O	1	Finnish
02267686-a	kapan	KEEP	None	None	None
02169891-v	mendengarkan	KEEP	None	6	Spanish, Japanese, Finnish, Thai, Portuguese, English
10112591-n	teman	KEEP	O	1	Japanese
11464143-n	gravitasi	KEEP	None	1	Finnish
03306207-n	ekspor	KEEP	O	2	Mandarin Chinese, English
08566028-n	ujung	KEEP	O	1	Slovene
00770437-v	membuat	KEEP	O	1	English
05981230-n	pangsa	KEEP	None	1	Portuguese
00933420-n	kerajinan	KEEP	None	1	Spanish
00046344-n	laga	KEEP	None	None	None
04952944-n	cahaya	KEEP	O	None	None
01090335-v	tengkar	KEEP	Y	2	Portuguese, Spanish
09328904-n	danau	KEEP	O	2	Portuguese, Spanish
07916041-n	martini	KEEP	O	None	None
02599636-v	mengarik	DELETE	O	1	Portuguese
00892413-n	lokakarya	KEEP	None	1	Portuguese
02397732-a	berbumbu	KEEP	None	None	None
01716882-v	dipersembahkan	KEEP	X	1	Slovene
07736692-n	spinach	KEEP	None	None	None
03542333-n	hotel	KEEP	Y	None	None
08394922-n	ming	KEEP	None	1	Finnish
