Sense	Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
sense	سَمْع	hearing	kuulo kuuloaisti	ακοή	pendengaran	聴覚 聴力	聽覺 听觉 聽力 听力 耳朵	n o u n	słuch	audição ouvido	слу̑х slȗh	sluh	audición	None	word	noun
Translations	هَا أَيْنَ الْمِرْحَاض؟ أَيْنَ الْحَمَّام؟ التواليت فين؟ شُرْطِيّ شُرَطِيّ شُرْطَةٍ ضَابِطُ شُرْطَةٍ ضَابِطَةُ شُرْطَةٍ شُرْطي عَسْكَري عَمِيل مُزْدَوِج	abjudication abandonee abietinic abator abnegator absinthial absinthian acanthine accipitrine ASCII homeworld weapon os cum say belly flop a la amontillado bisque to hammochrysos not mongrel child language teetotal activity behold cut droit de seigneur bra Occitan datiscin accusatival mana agora gourmet Masonic poor acosmist nomothetic nonacceptance acatalectic polygonometry nuance quatorze cinque NBC Ltd. ERT dag accelerative laughterless Laurentian twee salary acetimetry acetin Ascoli Piceno Rieti Alessandria fleur de sel Crotone where is the toilet police officer stick in someone's craw turnaround transportability Warwickshire battology achlamydeous mustn't achromatization achromatin double agent minor Zucker major leo third-world burglar	hylkääminen peruuttaminen kiinni päälle lastenkieli poikki! ensiyön oikeus gurmee nomoteettinen hyväksymättömyys nyansoida nauruton missä on vessa? poliisi konstaapeli ottaa päähän nyppiä täyskäännös suunnanmuutos kaksoisagentti suorittaa sivuaine opiskella pääaineena murtovaras	προς ΕΡΤ πού είναι η τουαλέτα αστυνομικός αστυνομικίνα διαρρήκτης διαρρήκτρια	maling	じゃない シンク 有 トイレはどこですか お手洗いはどこですか 警察官 お巡り お巡りさん 専攻する	兼 才怪 吗那 魔力 超自然力量 廁所在哪里？ 厕所在哪里？ 警察 警官 警員 警员 沃里克郡 雙重間諜 双重间谍 輔修 辅修 專攻 专攻 竊盜 窃盗 竊賊 窃贼	n o u n	abiudykacja abietynowy absyntowy akantowy dajmy na to bodaj à la biskwitować zamknięte bastardowy biernikowy nieakceptacja akatalektyczny akataleksa niuansować zniuansować cynk cynek sp. z o.o. akceleracyjny bez śmiechu nie śmiejący się gdzie jest toaleta? gdzie jest ubikacja? policjant policjantka achromatyzacja achromatyna podwójny agent Cukier specjalizować się	amontilhado só que não linguagem infantil actividade eis acosmista acataléctico acatalético flor de sal onde fica o banheiro? onde fica o toalete? onde fica a casa de banho? onde fica o quarto de banho? polícia policial agente agente da polícia volta giro torneio aclamídeo agente duplo especializar-se terceiro-mundista	где је тоалет? где је заход? gde je toalet? gde je zahod? полица́јац полѝца̄јка policájac polìcājka milicioner milicionerka dvostruki agent	kje je stranišče? policíst policístka milíčnik milíčnica	hueso tirarse en plancha actividad he aquí mirad derecho de pernada maná cuarta salariar ¿dónde están los aseos? ¿dónde está el baño? ¿en dónde están los servicios? policía agente de policía pitufo agente doble tercermundista	ห้องน้ำอยู่ไหน สุขาอยู่ไหน ตำรวจ	None	noun
the act of abdicating; the renunciation of a high office, dignity, or trust, by its holder	None	abdication	abdikaatio	παραίτηση	turun takhta abdikasi	None	退位	n o u n	abdykacja	abdicação	абдика́ција abdikácija	None	abdicación	None	None	noun
to make shorter	إِخْتَصَرَ قَصَّر قَصَّرَ	abbreviate abridge shorten	lyhentää typistää supistaa	συντομεύω συμπτύσσω	mempersingkat menyingkatkan memendekkan	縮める 略す 短縮する 省略する 略称する 短くする	缩写 弄短	v e r b	skracać skrócić	abreviar encurtar	skraćívati skratiti скратити	None	condensar compendiar acortar reducir	None	None	verb
pertaining to the surface or end opposite to the mouth in a radiate animal	None	abactinal	None	None	abaktinal	None	None	a d j	None	None	None	None	None	None	None	adj
word which has the opposite meaning	عَكْس نَقِيض	antonym	antonyymi vastakohta	αντώνυμο	lawan kata antonim	対義語 反意語 反対語	反義詞 反义词	n o u n	None	antónimo antônimo	антоним nasuprotnica odveznica	prótipoménka antoním	None	คำตรงกันข้าม	None	noun
male given name	إِدْوَارْد أَنْدَرَاوُس أَنْدْرُو	Fabian Edward Jordan Sydney Salvador Christian Andrew	Edvard Eetu Kristian Risto Antero Antti	Εδουάρδος Χριστιανός Ανδρέας	Andreas	エドワード アンドリュー	愛德華 爱德华 喬丹 乔丹 安德魯 安德鲁	n a m e	Krystian Andrzej Jędrzej	Fabiano Eduardo Duarte Jordão Sidney Sídnei Sidnei Cristiano André	А̀ндрија А̀ндреј Àndrija Àndrej	Édvard Édi Édo Andrêj	Fabián Jordán Cristián Andrés	แอนดรูว์	None	name
word which combines the meaning of two words	لَفْظٌ مَنْحُوت مَزَاج	portmanteau word	koostesana sulautuma	συμφυρμός	lakuran	鞄語 混成語	混成詞 混成词	n o u n	zbitka słowna zbitka wyrazowa skrzyżowanie wyrazów	palavra-valise amálgama siglonimização cruzamento	кова̀ница kovànica	None	compuesto acronímico contracción	คำผสม คำสนธิ สมาส	None	noun
Islamic act of washing parts of the body	وُضُوء	abdest	rukouspesu	None	wudhu	None	小淨 小净	n o u n	None	abdeste	а̀бдест а̀бдес а̀вдест àbdest àbdes àvdest	None	abdesto	None	None	noun
to destroy	دَمَر دمر هَدَمَ	abolish ruin dash waste nix demolish	raunioittaa lyödä iskeä tuhota niitata hajottaa	καταστρέφω	hancur lebur	打破する 打ち壊す 破壊する めちゃめちゃにする 潰す 崩す 取り壊す	破壞 破坏 拆除	v e r b	zburzyć burzyć niszczyć zdemolować	destroçar arrasar acabar com arruinar destruir devastar demolir	None	None	destrozar ruinar estropear romper erradicar exterminar aniquilar demoler	None	None	verb
to take away	يَخْطِفّ يخطف نَقَلَ أَزَالَ أَخْرَجَ	abduct remove	siepata ryöstää abduktoida ottaa poistaa siirtää	απάγω βγάζω	menculik	誘拐する 移す 除く 取り去る 退ける	誘拐 诱拐 除去 消除	v e r b	uprowadzać uprowadzić usuwać usunąć odejmować odjąć	raptar sequestrar abduzir remover tirar retirar	oteti отети	odstraniti	secuestrar	ลักพา ฉุด	None	verb
act or result of shortening or reducing	None	abbreviation	lyhentäminen lyhennös lyhennelmä lyhennys	σύντμηση	penyingkatan abreviasi	省略 短縮 略	縮寫 缩写	n o u n	skrócenie	abreviatura abreviação	абревија́ција кра̀тица abrevijácija kràtica	None	abreviación	None	None	noun
shortened or contracted form of a word or phrase	اِخْتِصَار اختصار	abbreviation	lyhenne	συντομογραφία βραχυγραφία σύντμηση συντόμευση	singkatan abreviasi	略称 略 省略	縮寫 缩写 簡寫 简写 略語 略语	n o u n	skrót skrótowiec	abreviação abreviatura	скра̑ћеница абревија́ција кра̀тица skrȃćenica abrevijácija kràtica	kratica okrajšava	abreviación	None	None	noun
physiology: movement separating limb from axis	None	abduction	loitonnus abduktio	απαγωγή	abduksi	None	None	n o u n	abdukcja	abdução	None	None	abducción	None	None	noun
law: wrongful carrying off of a human being	None	abduction	sieppaus ihmisryöstö kidnappaus	απαγωγή	abduksi	誘拐	None	n o u n	None	sequestro abdução	None	ugrabitev	rapto	None	None	noun
primary or explicit meaning	None	denotation	perusmerkitys denotaatio	None	denotasi	None	None	n o u n	None	denotação	None	None	denotación	None	None	noun
act of abolishing	إِلْغَاء اِبْطَال إلغاء إبطال	abolition	lakkauttaminen kumoaminen mitätöinti	κατάργηση	abolisi	廃止 撤廃	廢除 废除 取消 禁止 廢止 废止	n o u n	None	abolição	ukidanje укидање ukinuće укинуће	None	abolición	None	None	noun
public slaughterhouse	مَسْلَخ مَجْزَر سلخانة مدبح ڭرنة	abattoir	teurastamo	σφαγείο	rumah jagal abatoar	屠畜場 屠場 畜殺場	屠宰場 屠宰场	n o u n	rzeźnia ubojnia	matadouro açougue abatedouro	клаоница klaonica	klavnica	matadero desolladero degolladero rastro	โรงฆ่าสัตว์	None	noun
suggested or implied meaning	دَلَالَة	connotation	konnotaatio	υποδήλωση συνεκδοχή	konotasi	含意	含義 含义 意蘊 意蕴 涵義 涵义	n o u n	konotacja skojarzenie	conotação	konotacija	None	connotación	None	None	noun
engrossing	None	absorbing	mukaansatempaava	None	penyerap	None	None	a d j	None	absorvente	zanìmljiv занѝмљив	None	absorbente	None	None	adj
obsolete: act of waiting	بَقَاء قعاد	abode	viivytys	None	baka kekal	None	None	n o u n	None	espera atraso aguardar	None	None	retraso	None	None	noun
original; indigenous	None	aboriginal	alkuperäinen	ιθαγενής	pribumi	土着の	土著	a d j	aborygeński	aborígene	autohtono	None	aborigen indígena	None	None	adj
to regard with horror or detestation	None	abhor	inhota	None	membenci	忌む	痛恨	v e r b	czuć odrazę nie cierpieć	abominar detestar	None	None	aborrecer	เกลียด เกลียดชัง ชัง ขยะแขยง	None	verb
in the sequence of the letters of the alphabet	ألِفْبَائِيّ أبجَدِيّ	alphabetical	aakkos- aakkosellinen	αλφαβητικός	alfabetis	アルファベット順の	None	a d j	alfabetyczny abecadłowy alfabetowy	alfabético	ȁbecēdnī alfàbētskī	None	None	None	None	adj
granting favours or giving contracts or making appointments to office in return for political support	None	patronage	None	None	patronasi	None	None	n o u n	None	clientelismo	None	None	None	None	None	noun
absolving or setting free from guilt, sin or penalty; forgiveness of an offense	None	absolution	None	None	pembebasan dosa	解放	None	n o u n	absolucja rozgrzeszenie	absolvição	odrješenje одрјешење	None	absolución	None	None	noun
acquittal, or sentence of a judge declaring an accused person innocent	None	absolution	None	None	absolusi	釈放	None	n o u n	None	absolvição	None	None	absolución	None	None	noun
exercise of priestly jurisdiction in the sacrament of penance, by which Catholics believe the sins of the truly penitent are forgiven	None	absolution	synninpäästö	None	absolusi	None	None	n o u n	None	None	None	None	absolución	None	None	noun
one who accepts	قَابِل	acceptor	vastaanottaja	None	penerima akseptor	None	None	n o u n	None	aceitador	а̀кцептор àkceptor	None	aceptador	None	None	noun
in chemistry	حَامِض	acceptor acid complex	happo kompleksi	οξύ σύμπλοκο	asam	錯体	酸 酸性 複合物 复合物	n o u n	akceptor kwas kompleks związek koordynacyjny	ácido composto complexo	киселина kiselina	kislina	complejo	กรด	None	noun
in physics	None	acceptor dimension classical inertia gradient amplification quantization color temperature	ulottuvuus hitaus vitka jatkavuus gradientti vahvistaminen vahvistuminen kvantittaminen värilämpötila	διάσταση αδράνεια	matra	次元 寸法	慣性 惯性 量子化 色溫 色温	n o u n	akceptor wymiar bezwładność inercja	dimensão inércia gradiente amplificação quantização	gradijent амплифика́ција amplifikácija	dimenzija	inercia amplificación cuantificación cuantización	มิติ ความเฉื่อย	None	noun
an accounting charge	None	accrual	siirtovelka	None	akrual	None	None	n o u n	None	None	None	None	None	None	None	noun
cavity filled with pus	دُمَّل خُرَاج خُرَّاج	abscess	paise märkäpesäke absessi	απόστημα	abses	膿瘍 腫れ物	膿腫 脓肿	n o u n	ropień absces	abscesso	čȉr apsces	None	absceso flemón	None	None	noun
