Indonesian	Arabic	English	Finnish	Greek	Japanese	Mandarin Chinese	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai
pendengaran	سَمْع	hearing	kuulo	ακοή	聴覚	聽覺	słuch	audição	слу̑х	sluh	audición	None
maling	هَا	abjudication	hylkääminen	προς	じゃない	兼	abiudykacja	amontilhado	где	kje	hueso	ห้องน้ำอยู่ไหน
turun	None	abdication	abdikaatio	παραίτηση	None	退位	abdykacja	abdicação	абдика́ција	None	abdicación	None
mempersingkat	إِخْتَصَرَ	abbreviate	lyhentää	συντομεύω	縮める	缩写	skracać	abreviar	skraćívati	None	condensar	None
abaktinal	None	abactinal	None	None	None	None	None	None	None	None	None	None
lawan	عَكْس	antonym	antonyymi	αντώνυμο	対義語	反義詞	None	antónimo	антоним	prótipoménka	None	คำตรงกันข้าม
Andreas	إِدْوَارْد	Fabian	Edvard	Εδουάρδος	エドワード	愛德華	Krystian	Fabiano	А̀ндрија	Édvard	Fabián	แอนดรูว์
lakuran	لَفْظٌ	portmanteau	koostesana	συμφυρμός	鞄語	混成詞	zbitka	palavra-valise	кова̀ница	None	compuesto	คำผสม
wudhu	وُضُوء	abdest	rukouspesu	None	None	小淨	None	abdeste	а̀бдест	None	abdesto	None
hancur	دَمَر	abolish	raunioittaa	καταστρέφω	打破する	破壞	zburzyć	destroçar	None	None	destrozar	None
menculik	يَخْطِفّ	abduct	siepata	απάγω	誘拐する	誘拐	uprowadzać	raptar	oteti	odstraniti	secuestrar	ลักพา
penyingkatan	None	abbreviation	lyhentäminen	σύντμηση	省略	縮寫	skrócenie	abreviatura	абревија́ција	None	abreviación	None
singkatan	اِخْتِصَار	abbreviation	lyhenne	συντομογραφία	略称	縮寫	skrót	abreviação	скра̑ћеница	kratica	abreviación	None
abduksi	None	abduction	loitonnus	απαγωγή	None	None	abdukcja	abdução	None	None	abducción	None
abduksi	None	abduction	sieppaus	απαγωγή	誘拐	None	None	sequestro	None	ugrabitev	rapto	None
denotasi	None	denotation	perusmerkitys	None	None	None	None	denotação	None	None	denotación	None
abolisi	إِلْغَاء	abolition	lakkauttaminen	κατάργηση	廃止	廢除	None	abolição	ukidanje	None	abolición	None
rumah	مَسْلَخ	abattoir	teurastamo	σφαγείο	屠畜場	屠宰場	rzeźnia	matadouro	клаоница	klavnica	matadero	โรงฆ่าสัตว์
konotasi	دَلَالَة	connotation	konnotaatio	υποδήλωση	含意	含義	konotacja	conotação	konotacija	None	connotación	None
penyerap	None	absorbing	mukaansatempaava	None	None	None	None	absorvente	zanìmljiv	None	absorbente	None
baka	بَقَاء	abode	viivytys	None	None	None	None	espera	None	None	retraso	None
pribumi	None	aboriginal	alkuperäinen	ιθαγενής	土着の	土著	aborygeński	aborígene	autohtono	None	aborigen	None
membenci	None	abhor	inhota	None	忌む	痛恨	czuć	abominar	None	None	aborrecer	เกลียด
alfabetis	ألِفْبَائِيّ	alphabetical	aakkos-	αλφαβητικός	アルファベット順の	None	alfabetyczny	alfabético	ȁbecēdnī	None	None	None
patronasi	None	patronage	None	None	None	None	None	clientelismo	None	None	None	None
pembebasan	None	absolution	None	None	解放	None	absolucja	absolvição	odrješenje	None	absolución	None
absolusi	None	absolution	None	None	釈放	None	None	absolvição	None	None	absolución	None
absolusi	None	absolution	synninpäästö	None	None	None	None	None	None	None	absolución	None
penerima	قَابِل	acceptor	vastaanottaja	None	None	None	None	aceitador	а̀кцептор	None	aceptador	None
asam	حَامِض	acceptor	happo	οξύ	錯体	酸	akceptor	ácido	киселина	kislina	complejo	กรด
matra	None	acceptor	ulottuvuus	διάσταση	次元	慣性	akceptor	dimensão	gradijent	dimenzija	inercia	มิติ
akrual	None	accrual	siirtovelka	None	None	None	None	None	None	None	None	None
abses	دُمَّل	abscess	paise	απόστημα	膿瘍	膿腫	ropień	abscesso	čȉr	None	absceso	None
tersebut	الْمَذْكُورُ	above-mentioned	yllä	προαναφερθείς	上述	上述的	powyższy	supracitado	gore	None	sobredicho	None
secara	None	accurately	tarkasti	None	正確に	None	dokładnie	exatamente	tačno	None	None	None
Mariam	فِيكْتُورِيَا	Fanny	Fanni	Βικτωρία	ビクトリア	維多利亞	Wiktoria	Vitória	Вѝкто̄рија	Lavra	Adelaida	ฮันนาห์
PDB	None	GDP	BKT	ΑΕΠ	None	國內生產總值	PKB	PIB	БДП	None	PBI	None
akademikus	أَكَادِيمِيّ	academian	akateemikko	ακαδημαϊκός	アカデミー会員	院士	akademik	acadêmico	акадѐмик	None	académico	นักวิชาการ
absis	None	abscissa	abskissa	τετμημένη	None	横坐标	odcięta	abcissa	None	None	abscisa	None
minyak	None	crude	raakaöljy	αργό	None	原油	ropa	petróleo	None	None	crudo	None
Kartika	مقابلة	achronic	oppositio	αντίθεση	ケンタウルス	半人馬座	achroniczny	Plêiades	Плејаде	None	cuadratura	กระจุกดาวลูกไก่
bulan	رَجَب	Abib	kuukausi	σεληνιακός	None	月	miesiąc	lua	месец	mésec	mes	เดือน
aklamasi	None	acclamation	suosionosoitukset	None	喝采	掌聲	poklask	aclamação	клицање	None	aclamación	None
keguguran	إِجْهَاض	abortion	keskenmeno	αποβολή	流産	流產	poronienie	aborto	pobačaj	None	aborto	None
aborsi	خِدَاج	abortion	raskaudenkeskeytys	έκτρωση	妊娠中絶	流產	aborcja	aborto	абортус	splav	aborto	การทำแท้ง
aborsi	None	abortion	abortti	None	人工妊娠中絶	流產	aborcja	aborto	побацити	None	None	None
secara	None	accidentally	vahingossa	None	無意識的に	偶然	przypadkowo	acidentalmente	None	None	accidentalmente	โดยไม่ตั้งใจ
hiponim	None	hyponym	alakäsite	υπώνυμο	下位語	下義詞	None	hipónimo	хипо̀нӣм	podpomenka	None	None
kucing	عَتَّابِي	Abyssinian	abessinialainen	None	アビシニアン	虎斑貓	kot	abissínio	абисинка	None	gato	แมวลายสลิด
kolam	بِرْكَة	pond	lampi	νερόλακος	None	池塘	staw	lagoa	језе́рце	ribnik	charca	บ่อน้ำ
pisang	قِنَّب	abaca	manila	αβάκα	マニラ麻	蕉麻	banan	abacá	бу̏ча	buča	calabaza	ฟักทอง
birokrat	بِيرُوقْرَاطِيّ	bureaucrat	byrokraatti	γραφειοκράτης	None	官僚	biurokrata	burocrata	биро̀крат	None	burócrata	None
kepangeranan	فَضَاء	outer	ulkoavaruus	διάστημα	宇宙	太空	kosmos	espaço	све̏мӣр	vesoljski	espacio	อวกาศ
etimologi	تَأْثِيل	etymology	etymologia	ετυμολογία	語源学	語源學	źródłosłów	etimologia	етимологија	None	etimología	ศัพทมูลวิทยา
banci	None	transvestite	transvestiitti	τραβεστί	異性装者	異裝癖者	transwestyta	travesti	трансвестит	None	transformista	None
kemampuan	قُدْرَة	ability	kyky	ικανότητα	None	能力	zdolność	habilidade	спосо́бно̄ст	zmožnost	habilidad	ความสามารถ
orang	أُورُوبِيّ	accessary	eurooppalainen	Ευρωπαίος	ヨーロッパ人	歐洲人	Europejczyk	europeu	Európljanin	Evropejec	europeo	ชาวเช็ก
kerah	None	white-collar	valkokaulus-	None	ホワイトカラー	白領	None	de/do	None	None	None	None
hari	الْأَرْبِعَاء	Wednesday	keskiviikko	Τετάρτη	水曜日	星期三	środa	quarta-feira	среда	sréda	miércoles	วันพุธ
akordeon	أَكُورْدِيُون	accordion	harmonikka	ακορντεόν	アコーデオン	手風琴	harmonia	acordeão	хармо̀ника	harmọ́nika	acordeón	หีบเพลงชัก
minggu	أُسْبُوع	week	viikko	εβδομάδα	週間	星期	tydzień	semana	недеља	téden	None	สัปดาห์
gajah	خِنْزِير	aardvark	maasika	μυρμηγκοφάγος	ゾウ	土豚	mrównik	oricterope	сло̏н	slon	cerdo	อาร์ดวาร์ก
menghentikan	None	abort	keskeyttää	None	None	終止	przerwać	abortar	prekinuti	None	None	None
salah	None	mondegreen	väärin	None	空耳	None	przesłyszenie	tiocidade	None	None	pomporruta	None
bidan	قَابِلَة	accoucheur	kätilö	μαία	助産師	男接生员	akuszer	parteiro	primalja	babica	matrón	ตำแย
pisau	None	subsidiarity	subsidiariteetti	None	ベルヌーイの定理	伯努利定律	subsydiarność	navalha	Окамова	Occamova	subsidiariedad	หลักการของออคแคม
serigala	ذِئْب	aardwolf	maasusi	άαρντ-γουλφ	アードウルフ	土狼	protel	protelo	земни	pižmova	lobo	None
ensiklopedia	مَوْسُوعَة	encyclopedia	tietosanakirja	εγκυκλοπαίδεια	None	百科全書	encyklopedia	enciclopédia	енциклопе́дија	enciklopedija	enciclopedia	สารานุกรม
kuis	اِخْتِبَار	quiz	tietovisa	None	クイズ	測驗	turniej	None	кви̑з	kviz	prueba	None
atas	فَوقَ	above	yllä	πάνω	...の上に	在...上面	nad	acima	над	None	arriba	เหนือ
selain	بِـ	above	lisäksi	με	…を伴って	跟	z	com	pored	s	con	กับ
tendon	وَتَر	Achilles	akillesjänne	αχίλλειος	アキレス腱	跟腱	ścięgno	tendão	Ахилова	None	tendón	None
barang	بِضَاعَة	merchandise	tuotteet	εμπόρευμα	品物	產品	towar	mercadoria	ро̏ба	blago	mercancía	สินค้า
juli	يُولِيُو	July	heinäkuu	Ιούλιος	文月	七月	lipiec	julho	ју̑л	júlij	julio	กรกฎาคม
akurat	مَضْبُوط	accurate	tarkka	ακριβής	正確な	準確	dokładny	preciso	то̏чан	natančen	exacto	แม่นยำ
serikat	اِتِّحَاد	trade	ammattiyhdistys	συντεχνία	労働組合	工會	związek	sindicato	синдѝка̄т	sindikat	entidad	สหภาพแรงงาน
bodo	طُز	whatever	miten	καλά	どうでもいい！	隨便	oj	tanto	None	karkoli	como	None
tesaurus	مَكْنَز	thesaurus	synonyymisanakirja	θησαυρός	シソーラス	分類詞詞典	tezaurus	dicionário	речник	None	diccionario	อรรถาภิธาน
kesepakatan	تَفَاهُم	accord	sopusointu	None	合意	None	porozumienie	acordo	None	None	acuerdo	None
bajingan	None	queef	mulkku	None	下劣な人	卑賤的人	świnia	canalha	None	None	cerdo	None
dialek	لَهْجَة	dialect	murre	διάλεκτος	-弁	方言	dialekt	dialeto	наречје	naréčje	None	ภาษาถิ่น
teman	أشباه	false	petollinen	ψευδόφιλος	偽りの友	偽友	fałszywy	falso	заменица	lažni	pronombre	สรรพนาม
semantik	عِلْم	semantics	semantiikka	None	意味論	語義學	semantyka	semântica	сема̀нтика	pomenoslovje	semántica	None
Desember	دِيسِمْبِر	December	joulukuu	Δεκέμβριος	師走	十二月	grudzień	dezembro	дѐце̄мбар	decêmber	diciembre	ธันวาคม
bahasa	بُولَنْدِيَّة	Polish	puola	πολωνικά	ポーランド語	波蘭語	język	polonês	по̏љскӣ	póljščina	None	ภาษาโปแลนด์
tulang	لَوْح	osteo-	lapaluu	ωμοπλάτη	肩甲骨	肩胛骨	łopatka	omoplata	ло̀патица	lopatica	omóplato	กระดูกสะบัก
april	أَبْرِيل	April	huhtikuu	Απρίλιος	卯月	四月	kwiecień	abril	април	apríl	None	เมษายน
