synset	language	lemma	count
01199697-n	English	pendengaran	1
14484778-n	English	pendengaran	1
08560785-n	English	pendengaran	1
00882159-n	Greek, English	pendengaran	2
07147267-n	English	pendengaran	1
05657718-n	Slovene, Spanish, Polish, Japanese, Finnish, Portuguese, English	pendengaran	7
02169702-v	English	pendengaran	1
00598954-v	English	pendengaran	1
02500902-v	English	pendengaran	1
02107442-v	English	pendengaran	1
02171039-v	English	pendengaran	1
00682744-a	English	pendengaran	1
05657999-n	Finnish	pendengaran	1
05718254-n	Greek	pendengaran	1
00794614-n	Portuguese, Spanish, Japanese	pendengaran	3
03990474-n	Finnish, English	maling	2
04446521-n	English	maling	1
13769033-n	English	maling	1
03991062-n	English	maling	1
13774404-n	English	maling	1
13343774-n	English	maling	1
05556071-n	English	maling	1
03991646-n	English	maling	1
03990834-n	English	maling	1
01529491-v	English	maling	1
02978753-n	Finnish	maling	1
03612965-n	Finnish	maling	1
03722827-n	Finnish	maling	1
04266660-n	Finnish	maling	1
07581132-n	Finnish	maling	1
07589458-n	Finnish	maling	1
01970826-v	Portuguese, Greek, Finnish, English	turun	4
02737187-v	English	turun	1
02591312-v	English	turun	1
00342164-v	Finnish, English	turun	2
00347104-v	Finnish	turun	1
01542668-v	Finnish	turun	1
01833906-v	Finnish	turun	1
01958452-v	Finnish, Thai, Japanese	turun	3
01973486-v	Finnish	turun	1
01978576-v	Portuguese, Finnish, Japanese	turun	3
01978700-v	Finnish	turun	1
01979702-v	Finnish	turun	1
01979901-v	Finnish	turun	1
01980476-v	Finnish	turun	1
01981036-v	Finnish	turun	1
01984119-v	Finnish	turun	1
01986185-v	Finnish	turun	1
01986367-v	Finnish	turun	1
01986715-v	Finnish	turun	1
01988458-v	Finnish	turun	1
02039156-v	Finnish	turun	1
02016062-v	Greek, Japanese	turun	2
02367032-v	Japanese	turun	1
02380009-v	Japanese	turun	1
02382367-v	Japanese	turun	1
00245059-v	Portuguese	turun	1
00432683-v	Portuguese	turun	1
01970646-v	Portuguese	turun	1
00204391-v	Spanish	turun	1
00267855-v	Spanish	turun	1
00393534-v	Spanish	turun	1
