synset	lemma	annotation
01777210-v	ganal	DELETE
01072565-n	kepuasan	KEEP
02344381-v	hadiahkan	KEEP
07576182-n	semi-prasmanan	KEEP
13778671-n	parkir	KEEP
06308765-n	akhiran	KEEP
02124253-a	berfungsi	KEEP
01728476-a	yang lalu	KEEP
03061081-a	disiplin	KEEP
10735298-n	tiran	KEEP
07707451-n	sayur	KEEP
01179865-v	memakan	DELETE
01629958-v	hadirkan	KEEP
00649481-v	menjelajah	KEEP
90000335-n	wanton mee	KEEP
00588797-a	sepuas	KEEP
80001382-x	oh	KEEP
03670849-n	dawai	DELETE
12201580-n	cokelat	KEEP
01010271-a	terakhir	KEEP
07007945-n	drama	KEEP
02924116-n	no	KEEP
01647229-v	dirikan	KEEP
02395115-a	enak	KEEP
02068277-a	berbeda	KEEP
05651971-n	panca-indera	KEEP
01745846-a	halus	KEEP
90000026-n	Dilindungi Hak	KEEP
00037641-r	begitu	KEEP
02267686-a	kapan	KEEP
02169891-v	mendengarkan	KEEP
10112591-n	teman	KEEP
11464143-n	gravitasi	KEEP
03306207-n	ekspor	KEEP
08566028-n	ujung	KEEP
00770437-v	membuat	KEEP
05981230-n	pangsa	KEEP
00933420-n	kerajinan	KEEP
00046344-n	laga	KEEP
04952944-n	cahaya	KEEP
01090335-v	tengkar	KEEP
09328904-n	danau	KEEP
07916041-n	martini	KEEP
02599636-v	mengarik	DELETE
00892413-n	lokakarya	KEEP
02397732-a	berbumbu	KEEP
01716882-v	dipersembahkan	KEEP
07736692-n	spinach	KEEP
03542333-n	hotel	KEEP
08394922-n	ming	KEEP
03291819-n	amplop	KEEP
07812184-n	bumbu	KEEP
06706676-n	medali	KEEP
00524682-v	menjelma menjadi	DELETE
07060167-n	musik rakyat	KEEP
00327145-v	tim	KEEP
00492745-r	sesungguh	KEEP
09917593-n	anak muda	KEEP
00579881-a	berani	KEEP
13793330-n	penghubung	KEEP
00035603-v	memandikan	KEEP
00155143-v	tambah	KEEP
01156834-v	mencernakan	DELETE
15162210-n	festival	KEEP
01233156-n	kunjung-mengunjungi	KEEP
80000605-r	seolah	KEEP
05725527-n	panas	KEEP
08588152-n	sebelah dlm,dlm	DELETE
01410606-a	bagai	KEEP
03800933-n	musik alat	KEEP
13903576-n	pinggir	KEEP
04763925-n	keunikan	KEEP
02616386-v	merupakan	KEEP
13790912-n	per	KEEP
13945919-n	status	KEEP
00927017-a	yang masih ada	KEEP
03141609-a	‘ras’	KEEP
01161233-a	memfitnah	KEEP
01999798-v	ke	DELETE
07006951-n	produksi	KEEP
01798936-v	mengecewakan	KEEP
90000321-n	thaipusam	KEEP
05022457-n	kelenturan	KEEP
00378664-v	membakar	KEEP
00599992-v	membaca	DELETE
03299261-n	dan sebagainya	KEEP
09945319-n	komunis	KEEP
00214761-r	menarik	KEEP
01740207-a	patriotik	KEEP
00305821-r	suntuk	KEEP
07020538-n	tari-tarian	KEEP
00310666-n	tur	KEEP
06887726-n	pameran	KEEP
14006945-n	laga	KEEP
02620587-v	terdiri daripada	DELETE
00061677-r	tiba-tiba	KEEP
01590484-a	bangsawan	KEEP
09816771-n	rekan	KEEP
90000126-n	crystal jade kitchen	KEEP
00001740-n	hakikat	DELETE
90000090-n	semenanjung melayu	KEEP
02655135-v	berada	KEEP
01849221-v	bergerak ke arah	KEEP
02204692-v	punya	KEEP
02194286-v	mencoba	KEEP
00120675-v	membuat	KEEP
13988498-n	negara	DELETE
03810952-n	monumen nasional	KEEP
01493173-a	masak	KEEP
13910384-n	kawasan	DELETE
07464725-n	pertandingan	KEEP
06099269-n	elektronik	KEEP
02020590-v	peroleh	DELETE
80000622-a	entah	KEEP
00563330-n	permata tiruan	KEEP
01104026-a	istimewa	KEEP
05641959-n	keahlian	KEEP
08622950-n	tempat	DELETE
02548820-a	basah	KEEP
01089778-n	dana	KEEP
06282651-n	bahasa	KEEP
01221542-v	lengket	KEEP
90000323-n	cakue	KEEP
09917593-n	anak	KEEP
00836236-v	melambangkan	KEEP
02951843-n	tenda	KEEP
14050871-n	wajah yang merah	DELETE
01121757-a	menakjubkan	KEEP
02848806-n	pisau	KEEP
01206318-a	atas	KEEP
80000120-n	kinokuniya	KEEP
15163797-n	hari minggu	KEEP
01380122-v	menyebarkan	DELETE
02096167-v	putar	DELETE
03748162-n	city	KEEP
08429052-n	jajaran	KEEP
01687167-a	baru	KEEP
03895866-n	kereta	KEEP
00451510-a	erat	KEEP
08624385-n	pos	KEEP
01673815-a	umum	KEEP
00948514-a	luar	KEEP
10280674-n	pesulap	KEEP
02702508-v	insan	DELETE
02448185-v	membentuk	KEEP
07601999-n	cokelat	KEEP
03114041-n	kostum	KEEP
10640620-n	istri	KEEP
00547616-n	pukulan	KEEP
90000057-n	Kuil Relik Gigi Sang	KEEP
07019172-n	musikal	KEEP
02349604-a	bawah	KEEP
00038625-r	memang	KEEP
13863771-n	barisan	DELETE
05399847-n	darah	KEEP
08871007-n	inggris	KEEP
07926920-n	minuman campuran anggur	DELETE
01085098-n	pembagian	KEEP
01582409-v	berbenam	DELETE
02621395-v	membuatkan	DELETE
02237782-v	memberikan	KEEP
15121406-n	sejarah	KEEP
07626602-n	gula	DELETE
02388403-v	mendidik	KEEP
02732798-v	menampung	KEEP
07866723-n	popiah	KEEP
02205272-v	menawan	DELETE
08544593-n	pelosok	KEEP
02398608-a	tajam	KEEP
03781244-n	vihara	KEEP
04468005-n	kereta	KEEP
03671668-n	bentuk	DELETE
07416714-n	saat	KEEP
13581067-n	mayoritas	KEEP
07560652-n	makanan	KEEP
00292937-a	sibuk	KEEP
00613018-v	kehilangan	KEEP
00658052-v	tata	KEEP
01941093-v	menerbangkan	KEEP
06773434-n	perjanjian	KEEP
02165304-v	menoleh	KEEP
01427127-v	mengarik	DELETE
00927017-a	yang ada	KEEP
00759944-v	shalat	KEEP
08955951-n	seoul	KEEP
12582231-n	kelapa	KEEP
08646566-n	arena	KEEP
06784639-n	teka-teki	KEEP
80000849-n	ronggeng	KEEP
08981244-n	filipina	KEEP
07151380-n	ungkapan	KEEP
05098942-n	luas	KEEP
13613294-n	m²	KEEP
01664172-v	sedia	DELETE
00067129-v	sesenggukan	KEEP
06878071-n	senyuman	KEEP
03289268-n	ukiran	KEEP
80000683-x	ha	KEEP
01999218-v	menuju	DELETE
01000214-v	tercatat	KEEP
07258664-n	referensi	KEEP
03113835-n	pakaian	KEEP
00713167-v	berhubung	KEEP
01044730-a	santai	KEEP
01569566-v	pasang	KEEP
09617867-n	juru	KEEP
07557165-n	penganan	KEEP
13562133-n	penyimpanan	KEEP
08247021-n	duet	KEEP
08168978-n	negara	KEEP
02006834-v	menggenjot	DELETE
08997487-n	negeri singa	KEEP
00259019-r	langsung	KEEP
01462005-v	gaulkan	DELETE
76100079-x	utas	KEEP
01969150-a	setiap tahun	KEEP
00931467-v	berarti	KEEP
00922051-a	glamor	KEEP
00726153-v	mencengangkan	KEEP
00004475-n	benda hidup	DELETE
08223802-n	masyarakat	KEEP
00082308-r	di sana	KEEP
07978423-n	mitologi	KEEP
08430568-n	talian	DELETE
03849814-n	teater opera	KEEP
00568304-a	lepas	KEEP
07818277-n	garlic	KEEP
00276862-a	teduh	KEEP
05790758-n	favorit	KEEP
02296726-v	menawarkan	KEEP
14326607-n	sakit kepala	KEEP
00114431-n	tarik	KEEP
00347610-v	bermain muzik	DELETE
02701210-v	memuatkan	DELETE
13769033-n	sepoci	KEEP
09291513-n	biji buah	KEEP
13980845-n	konflik	KEEP
00661091-n	terapi	KEEP
76100081-x	butir	KEEP
11894958-n	lobak	KEEP
00857923-v	bergembira	KEEP
05844105-n	bergaya	DELETE
02427103-v	mendirikan	KEEP
06341340-n	sri	KEEP
01839690-v	datang dari	KEEP
02460964-a	asli	KEEP
04807050-n	patut	KEEP
07152259-n	slogan	KEEP
80000583-n	masala	KEEP
02346878-a	perdagangan	KEEP
07491708-n	semarak	KEEP
01205696-v	berhubungan	KEEP
02540670-v	melayani	KEEP
00833546-v	info	KEEP
05839024-n	berbentuk	DELETE
02327200-v	memberi	KEEP
10741590-n	pengguna	KEEP
02512053-n	ikan	KEEP
02324478-v	memberikan	KEEP
00008600-r	sendiri	KEEP
02614181-v	menjadi	DELETE
01114458-n	ritel	KEEP
02355596-v	dapat	DELETE
90000299-n	nonya	KEEP
90000330-n	kuih bom	KEEP
06279326-n	e-mail	KEEP
02663848-v	mengandalkan	KEEP
00087736-v	mengantongi	DELETE
07851298-n	krim keju	KEEP
80001130-n	-nya	KEEP
02892389-a	haji	KEEP
07757132-n	cherry	KEEP
00744916-a	tidak mudah	KEEP
13744521-n	panca	KEEP
00320852-n	kata pengantar	DELETE
13659760-n	km	KEEP
00893435-v	menjelaskan	KEEP
00734054-v	membilang	DELETE
04928903-n	tatakrama	KEEP
00372111-a	kecoklatan	KEEP
02120451-v	menyengat	KEEP
01617192-v	menjadikan	KEEP
00037226-r	benar	KEEP
80001507-n	perairan	DELETE
00770437-v	membawakan	DELETE
02623906-v	memegas	DELETE
00447472-a	dekat	KEEP
01284212-a	spektakuler	KEEP
02014165-v	berangkat	KEEP
00824321-a	barat	KEEP
01511520-a	terlalu	KEEP
08593262-n	rangka	DELETE
13713003-n	garis lurus	DELETE
01919931-a	riuh	KEEP
13659760-n	kilometer	KEEP
04804451-n	ketidakakuratan	KEEP
01214265-v	memegang	DELETE
02630189-v	ditonjolkan	KEEP
01326528-v	melalap	DELETE
01906322-v	menapak	KEEP
06601327-n	maksud	KEEP
08664443-n	premis	DELETE
01129876-v	bela	KEEP
15160076-n	tanggal	KEEP
02551380-a	keringlah	KEEP
02646378-v	patut	KEEP
07892512-n	wine	KEEP
08275185-n	aliran	KEEP
02599636-v	memasukkan	DELETE
12435152-n	daun bawang	KEEP
01959294-a	reguler	KEEP
01182709-v	menyajikan	KEEP
00217728-a	cantik	KEEP
02434976-v	bergabung	KEEP
09820263-n	atlet	KEEP
01181902-n	tindakan	KEEP
08372411-n	orang	DELETE
12709103-n	pomelo	KEEP
02711194-a	gigi	KEEP
03990474-n	poci	KEEP
01329830-a	dipadu	KEEP
02561332-v	gunakan	KEEP
01987545-n	prawns	KEEP
90000136-n	hai tien lo	KEEP
01095218-v	bertugas	KEEP
02359340-v	dapat	KEEP
00107384-a	sedikit	KEEP
13659162-n	m	KEEP
00802318-v	izinkan	KEEP
02664769-v	setaraf	DELETE
02737187-v	diwariskan	KEEP
08208560-n	tim	KEEP
01647229-v	mendirikan	KEEP
10077593-n	peminat	KEEP
02020590-v	melenda	DELETE
07596967-n	permen	KEEP
01148283-a	gembira	KEEP
09393605-n	ladang	KEEP
00543200-a	eksentrik	KEEP
07709046-n	kacang hijau	KEEP
00833546-v	perbarui	KEEP
09385911-n	bagian	KEEP
00795720-n	kerja	KEEP
07020538-n	tarian	KEEP
02756346-a	lokal	KEEP
02355596-v	membuat	DELETE
80001374-n	limau purut	KEEP
00305821-r	larut	KEEP
14924602-n	giok	KEEP
13744722-n	enam	KEEP
