synset	lemma	annotation
10472799-n	putra	KEEP
02384940-v	mengundang	KEEP
04994413-n	manis	KEEP
04306847-n	patung	KEEP
02297142-v	ditawar-tawari	KEEP
02129718-a	ditetapkan	KEEP
15168790-n	subuh	KEEP
13928668-n	jalinan	KEEP
00312932-n	pelayaran	KEEP
07657903-n	steak	KEEP
14438541-n	reputasi	KEEP
10631941-n	juru	KEEP
15165289-n	pagi hari	KEEP
07228751-n	sumpah	KEEP
80000945-x	wah	KEEP
90000109-n	telok blangah hill park	KEEP
01456710-a	pepak	DELETE
07557434-n	sajian	KEEP
05891783-n	dugaan	KEEP
02394183-v	memasukkan	DELETE
14956325-n	tanah liat	KEEP
90000006-n	ayam buah keluak	KEEP
08431437-n	barisan	KEEP
09620794-n	penduduk asli	KEEP
06648590-n	testamen	KEEP
02506555-a	beragam	KEEP
02871525-n	toko buku	KEEP
06431740-n	kitab suci	KEEP
00347610-v	mengkritik	DELETE
00423702-v	muncul	KEEP
01705513-a	jelas	KEEP
00158309-r	tepat	KEEP
00813978-v	berdiskusi	KEEP
00081725-v	penyembuhan	KEEP
05869584-n	keseluruhan	KEEP
02249018-v	beralamat	KEEP
14061805-n	penyakit	KEEP
13306870-n	harga	KEEP
04271891-n	pertunjukan	KEEP
13926786-n	tempat	DELETE
08407619-n	pertunjukan	KEEP
00463399-a	laut	KEEP
10314836-n	bidan	KEEP
06693198-n	pujian	KEEP
09787534-n	duta besar	KEEP
00089408-r	sangat	KEEP
01531957-a	pertengahan	DELETE
08630039-n	bhg	DELETE
01462005-v	mempergauli	DELETE
06364641-n	kesusasteraan	KEEP
00013887-a	kaya	KEEP
07555863-n	hidangan	KEEP
01249147-v	serutan	KEEP
00620752-n	kerja	KEEP
15249636-n	generasi	KEEP
00257784-r	tiga kali	KEEP
00624026-a	besar	KEEP
02630189-v	menampilkan	KEEP
00079107-r	niscaya	KEEP
10525436-n	pengecer	KEEP
02620587-v	boleh disamakan	DELETE
08593262-n	jalur	KEEP
07460546-n	maraton	KEEP
02458262-a	angker	KEEP
02036755-v	mengantri	KEEP
06799897-n	bentuk	DELETE
01002740-v	memotret	KEEP
02479323-v	menyediakan	KEEP
80001580-n	yuba	KEEP
00282675-a	berkilau	KEEP
00755745-v	sangka	DELETE
01622505-a	terbuka	KEEP
00793785-v	menggoda	KEEP
06693502-n	puji-pujian	KEEP
14526182-n	citarasa	KEEP
02627934-v	menyangkut	DELETE
08429167-n	rombongan	KEEP
02284578-a	tertulis	KEEP
02883344-n	kotak	KEEP
90000123-n	chingay parade	KEEP
01148283-a	senang hati	KEEP
02065665-a	aneka	KEEP
06251781-n	transmisi	KEEP
05629682-n	neraka	KEEP
00307631-n	perjalanan	KEEP
00668366-a	terakhir	KEEP
00029037-r	pun	KEEP
10280130-n	maestro	KEEP
00034574-n	kebaikan hati	KEEP
03788195-n	sultan	KEEP
00339934-v	diadakan	KEEP
00173338-v	memindahkan organ	DELETE
02402825-v	memensiunkan	DELETE
00284798-n	berjalan-jalanlah	KEEP
00048739-r	langsung	KEEP
00756076-v	jadi	DELETE
04190052-n	rak	KEEP
02118476-v	memperhatikan	KEEP
01654628-v	bangun	KEEP
07511733-n	harap	KEEP
03083417-a	malaysia	KEEP
03484083-n	kereta	KEEP
01156834-v	mencerna	DELETE
03183080-n	alat	KEEP
01044533-v	gumam	KEEP
09877951-n	teman	KEEP
02025353-v	berduyun-duyun	KEEP
09218315-n	honeycomb	KEEP
00443490-a	jauh	KEEP
02075857-v	membutuhkan	DELETE
90000121-n	acara saat malam	KEEP
00127137-a	dahulu	KEEP
04985198-n	nada	KEEP
14512817-n	keadaan	KEEP
01824736-v	solak	DELETE
00255450-n	wudu	KEEP
03671473-n	talian	DELETE
14460565-n	integritas	KEEP
00085002-r	tempat lain	DELETE
01180844-v	melayani	KEEP
03290771-n	entry	KEEP
07800091-n	makanan	KEEP
02140033-v	menunjukkan	KEEP
00668805-v	mereguk	DELETE
07009042-n	sedikit	KEEP
02402825-v	bisa	DELETE
00174412-n	tindakan	KEEP
01646075-v	membuat	KEEP
07372565-n	repot	KEEP
01862697-a	cuma	KEEP
02627934-v	memerlukan	KEEP
02187793-a	15	KEEP
02785365-n	lilitan	KEEP
02892656-a	ritual	KEEP
07734744-n	jamur	KEEP
14513062-n	ekologi	KEEP
01564144-v	mengobrak-abrik	DELETE
01168468-v	mengisi perut	DELETE
90000095-n	singapore food festival	KEEP
03844045-n	lampu minyak	KEEP
07985223-n	pasangan	KEEP
01097315-a	dilengkapi	KEEP
01361863-a	sedih	KEEP
00331514-v	ditumbuk	KEEP
90000045-n	italia selatan	KEEP
77000080-n	itu	KEEP
05611302-n	otak	KEEP
01675190-a	istimewa	KEEP
00037396-n	tindakan	KEEP
08521623-n	kuburan	KEEP
07193596-n	pertanyaan	KEEP
03945615-n	pipa	KEEP
02186665-a	4	KEEP
02397234-a	kaya	KEEP
00035058-r	sering kali	KEEP
01315613-v	cari	KEEP
12125890-n	nasi	KEEP
01673946-a	yang biasa	KEEP
90000299-n	nyonya baba	KEEP
00756897-a	hitam	KEEP
00734054-v	menganggap	DELETE
02150948-v	saksikanlah	KEEP
00524682-v	mengumpamakan	DELETE
03578656-n	port	KEEP
01392249-a	kecil	KEEP
02655135-v	kelihatan	DELETE
01966488-a	tetap	KEEP
06689667-n	izin	KEEP
14463676-n	kelelahan	KEEP
07571547-n	dimsum	KEEP
00775486-a	eklektik	KEEP
08549070-n	kawasan	KEEP
08569998-n	ladang	KEEP
05685030-n	bingung	KEEP
08663860-n	puncak	KEEP
07560652-n	makanan dan minuman	KEEP
06879180-n	demo	KEEP
05538625-n	head	KEEP
10601078-n	pendosa	KEEP
00427496-a	halal	KEEP
03335600-n	sosok	KEEP
02197828-a	170	KEEP
07579076-n	mencicipi	KEEP
02697759-n	gang	KEEP
02685951-v	menghabiskan masa	DELETE
02240668-a	giling	KEEP
00935247-n	keramik	KEEP
08613593-n	di luar	KEEP
02685951-v	membarui	DELETE
07543288-n	cinta	KEEP
00903098-v	harap	KEEP
02538050-a	musik	KEEP
00823350-a	timur	KEEP
05861067-n	jumlah	KEEP
02718497-a	elektronik	KEEP
06050901-n	kandungan	KEEP
02055062-a	keagamaan	KEEP
03724870-n	topeng	KEEP
14449405-n	kekurangan	KEEP
00614999-v	tinggalkan	KEEP
04765038-n	solidaritas	KEEP
01726172-v	bermain	KEEP
00085002-r	di	DELETE
07891726-n	anggur	KEEP
00025654-v	bersantai	KEEP
00748972-v	citarasa	KEEP
02020590-v	mencatat	DELETE
02993546-n	pusat	KEEP
02558767-a	natural	KEEP
15248564-n	zaman	KEEP
01394744-a	kecil	KEEP
06793426-n	poster	KEEP
02871858-a	wilayah	KEEP
01158181-v	menyia-nyiakan	DELETE
00122626-a	kemudian	KEEP
02276305-a	berbusa	KEEP
02627934-v	perlukan	DELETE
02474239-v	dianugerahi	KEEP
03463832-n	perkebunan	KEEP
02128066-v	temukan	KEEP
00755745-v	bersangka	DELETE
02998988-a	ke-100	KEEP
00489108-a	ghalib	DELETE
09480809-n	dunia	KEEP
02533834-n	ikan bilis	KEEP
01060494-v	memberi	KEEP
00941148-a	secara langsung	KEEP
06693198-n	puji	KEEP
04133789-n	sandal	KEEP
02102840-v	berpetualang	KEEP
01418667-v	mencampur	DELETE
04081281-n	restaurant	KEEP
01023820-n	prosedur	KEEP
00967129-a	aneh	KEEP
01666131-v	menyediakan	KEEP
02887899-a	laut	KEEP
01645601-v	membentuk watak	DELETE
12897493-n	kentang	KEEP
00230033-v	menambahkan	KEEP
02140033-v	tampilkan	KEEP
07911677-n	koktail	KEEP
01999798-v	mengarik	DELETE
00585406-n	fasilitas	KEEP
01646941-a	muda	KEEP
00614829-v	lupakan	KEEP
00973056-v	menyiarkan	KEEP
01643620-a	ratusan	KEEP
02204692-v	milik	KEEP
00037641-r	memang	KEEP
00950431-v	anggap	KEEP
01580968-a	perlu	KEEP
08806897-n	roma	KEEP
10017272-n	dj	KEEP
08811982-n	tuscany	KEEP
90000331-n	nasi lemak	KEEP
02869563-a	visual	KEEP
07573696-n	makanan	KEEP
01156834-v	mengarik	DELETE
03659292-n	tuas	KEEP
00320852-n	perkenalan	DELETE
00485044-a	pemukiman	KEEP
01617192-v	terciptalah	KEEP
01998432-v	turut	KEEP
00995775-a	mendukung	KEEP
00848466-a	harus	KEEP
00699815-v	menetapkan	KEEP
00485044-a	perumahan	KEEP
01646941-a	kecil	KEEP
00217728-a	asri	KEEP
80000749-n	century egg	KEEP
80001610-n	Sistem Pengangkutan Gerak Cepat	KEEP
01387786-v	peras	KEEP
00118869-r	pernah	KEEP
02006834-v	membelasah	DELETE
02685951-v	membimbing	DELETE
00779061-v	istirahat	KEEP
03007130-n	kapel	KEEP
07485626-n	selera	KEEP
00272951-r	seberang	KEEP
00786195-n	upaya	KEEP
01110517-v	mengalahkan	KEEP
05663671-n	pemerintah	KEEP
90000036-n	garden spice	KEEP
07508486-n	kemegahan	KEEP
02646605-a	astronomi	KEEP
01842204-v	keluar	KEEP
00067129-v	tersedu-sedu	KEEP
14939445-n	bendalir	DELETE
06636259-n	fakta	KEEP
01386234-a	ekstensif	KEEP
05146471-n	mewah	KEEP
02203373-a	ke-10	KEEP
01084900-a	penuh	KEEP
02251743-v	membayar	KEEP
14563564-n	kegelapan	KEEP
12607456-n	nanas	KEEP
06492939-n	menu makanan	KEEP
01829292-v	bakar	KEEP
05785508-n	perenungan	KEEP
