tag	clemma
00721437-v	temukan
15235126-n	saat
00031899-r	sangat
01807219-a	menyenangkan
08997487-n	singapura
14006945-n	aktivitas
01190948-v	menikmati
15137890-n	liburan
02067719-a	berbagai
02418421-v	bermain-main
00015388-n	satwa
01940403-v	terbang
01503061-n	burung
08646902-n	pemandangan
08665504-n	kota
90000189-n	singapore flyer
00122626-a	kemudian
02128286-v	saksikanlah
80000370-n	sentosa
02016523-v	memasuki
03878066-n	kastil
02418421-v	bermain
90000170-n	universal studios
00704690-v	rencanakanlah
00295701-n	perjalanan
02493030-v	melihat
02065665-a	aneka
00796315-n	petualangan
01261293-n	seru
00456199-n	permainan
07935504-n	air
02302822-a	pasti
02423183-v	memberi
06878071-n	senyum
04674715-n	wajah
10235549-n	keluarga
00049220-r	sekarang
01843380-a	disajikan
02551380-a	kering
07838073-n	kuah
02629535-v	mempunyai
05840650-n	versi
02067719-a	berbeda
04928903-n	gaya
03083417-a	malaysia
03117835-a	singapura
90000335-n	wanton mee
08731148-n	hong kong
00106921-r	biasa
01180351-v	sajikan
00431447-a	jernih
07702057-n	pangsit
01493234-v	isi
07794159-n	udang
02395406-n	babi
07699584-n	mi
02412164-a	tipis
00004722-r	hanya
01443097-a	sekilas
01389776-v	masukkan
00328128-v	mendidih
04934220-n	tekstur
02626604-v	menjadi
02445978-a	kenyal
00089408-r	sangat
01815838-a	populer
04081281-n	restoran
06930427-n	kanton
01123148-a	baik
02630189-v	memiliki
00036291-r	sedikit
01083157-a	padat
04230093-n	kulit
01457954-v	tembus
03665366-n	cahaya
07794159-n	cincangan
07734744-n	jamur
00392812-a	hitam
07740220-n	lezat
02267308-a	beberapa
07970406-n	keluarga
01815838-a	kenal
01180351-v	menghidangkan
01014251-a	antara
02070030-a	lain
90000126-n	crystal jade kitchen
90000180-n	imperial treasure cantonese cuisine
00111609-r	ter⨁
00024073-r	tak
00442361-a	jauh
02296726-v	memberi
07654667-n	irisan
00618377-a	panggang
04962784-n	merah
07707451-n	sayuran
90000193-n	char siew
07669788-n	babi panggang
13253423-n	selain
02756346-a	lokal
00035058-r	sering
01168468-v	makan
00021878-r	terkadang
02339413-v	lengkapi
00617422-a	goreng
07829412-n	saus
02067719-a	berbeda-beda
02711987-v	tergantung
04299215-n	gerai
02244956-v	menjual
08963369-n	malaysia
00019339-r	seringkali
01664172-v	terbuat
07825972-n	kecap
01635146-a	terdiri
07734017-n	tomat
90000312-n	sambal
07827410-n	wijen
02633356-v	terdiri dari
07831267-n	saus tomat
07675156-n	minyak wijen
02671613-v	berperan
01275562-a	penting
00690614-v	anggap
00227507-a	baik
00059413-r	sering
00047534-r	juga
01158872-v	gunakan
07840804-n	telur
00106921-r	umum
00394562-a	berwarna
00385756-a	kuning
00843146-a	kenyal
00910101-a	rata
07804323-n	nasi
02716165-v	temani
02905036-n	panggangan
02368336-a	manis
00991838-a	berlemak
00142191-v	berbentuk
01681492-v	marmer
05715283-n	rasa
02316868-v	memberi
00379440-v	panggangan
00488187-a	khas
00027384-r	namun
01498084-a	tanpa
14864360-n	lemak
00048475-r	kini
00059854-r	semakin
07942152-n	kalangan
00723056-v	memperhatikan
14049711-n	kesehatan
15203791-n	tahun
01013279-a	terakhir
05840650-n	variasi
02069355-a	lain
02157519-v	bermunculan
08964474-n	sarawak
01115635-a	otentik
02238085-v	dapat
00934199-a	murah
01552419-a	banyak
08514034-n	pusat
07555863-n	makanan
01846413-a	ada
08941426-n	centre
90000033-n	food centre
01580050-a	wajib
01894196-a	coba
10077593-n	pecinta
00036935-r	pasti
01755816-v	membuat
01825237-v	ingin
00453803-v	menambah
13765531-n	semangkuk
01072949-v	mainkanlah
00920336-v	mengetahui
00099712-r	lebih
01211296-a	lanjut
07573696-n	makanan
01678729-a	khas
90000229-n	food in translation
90000230-n	makanan khas singapura
01749184-v	mencetak
08664443-n	tempat
09762509-n	bintang
00695209-a	berjaya
02204692-v	memiliki
02735688-n	lapangan
13596756-n	par
02238085-v	mendapatkan
04869106-n	penghargaan
00183053-a	tersedia
10480253-n	profesional
00603298-v	melatih
00229605-v	meningkatkan
02136892-v	mencerminkan
02734725-n	arsitektur
05844105-n	gaya
01150559-v	mengacu
00611047-a	tradisional
02927512-a	amerika
00060939-r	sebelum
00755745-v	harapkan
06471345-n	sertifikat
07177772-n	pemesanan
01712704-v	lakukan
15208333-n	hari
00342812-v	terdapat
01180351-v	menyediakan
07557434-n	masakan
08723006-n	china
08920381-n	jepang
09275473-n	eropa
10278128-n	ibu
02077656-v	ambil
04026417-n	dompet
03965456-n	mal
01150559-v	ditujukan
05750657-n	mode
05921123-n	inti
09984659-n	pembeli
01478182-a	wanita
00973677-a	trendi
05981230-n	pangsa
08424951-n	pasar
02616386-v	adalah
08565506-n	surga
09612848-n	konsumen
00190653-a	cerdas
01775164-v	mencintai
06845599-n	merek
90000207-n	wisma atria
02203362-v	mempunyai
00007015-r	hampir
04202417-n	toko
02064745-a	berbeda
02879309-n	butik
00971075-a	modis
08489497-n	tempat ini
04930632-n	gaya hidup
02196107-a	100
02333689-v	menempatkan
01472628-a	utama
01010862-a	pertama
09207288-n	asia
08921850-n	jepang
00983123-v	number
90000177-n	din tai fung
90000196-n	food republic
00289983-a	time
01166351-v	makanan
02621395-v	merupakan
09385911-n	bagian
02161432-a	penting
07165086-n	penawaran
08620061-n	tempat
01166351-v	makan
00170358-a	menarik
05919263-n	hati
01726859-a	penggemar
01806505-v	menarik hati
02604760-v	adalah
01122601-n	belanja
03154886-a	mencari
00514884-a	semua
04105068-n	atap
01849221-v	datanglah
02754656-n	atria
04812268-n	keindahan
00081836-n	berbelanja
09885145-n	pembeli
02743547-n	seni
02210855-v	mendapatkan
07285403-n	pengalaman
03412058-n	galeri
01551633-a	banyak
00161243-n	pilihan
03838535-n	karya
01037885-a	internasional
02247390-v	bawa
00097840-r	pulang
09776807-n	pecinta
00933420-n	seni
02150948-v	menyaksikan
08407619-n	pameran
01755627-a	temporer
02148788-v	menampilkan
08179689-n	dunia
01567694-a	seluruh dunia
00043003-r	jadi
01825962-v	ingin
02207206-v	berbelanja
00004722-r	sekedar
01824736-v	ingin
01805982-v	menikmati
00217728-a	indah
00594621-v	tahu
01849221-v	datang
00284798-n	jalan
02407603-a	santai
09387222-n	jalur
09366762-n	alam
01935476-v	bersepeda
01911526-v	berkeliling
09316454-n	pulau
80000861-n	paintballing
00325110-n	panjat
09246464-n	tebing
00027167-n	lokasi
02296726-v	menawarkan
14405621-n	keseruan
07370410-n	panjat tebing
09206985-n	pendakian
00684838-v	termasuk
08523483-n	jantung
08524735-n	kota
02269286-a	semua
00405645-r	saling
05129565-n	berjarak
00444519-a	dekat
08588294-n	di dalam
00515380-a	seluruh
08322981-n	lembaga
00819024-n	pemeliharaan
08615149-n	taman
00310666-n	tur
01931768-v	berpemandu
00597915-v	belajar
01556355-a	lebih
08436759-n	flora
07993279-n	fauna
01036383-a	asli
00819274-n	pelestarian
14513062-n	ekologi
