synset_old	lemma	src_old	usr_old
10129825-n	perawan	msa	fcbond
13846199-n	yg pertama	msa	hannahchoi
01727303-a	semula jadi	msa	hannahchoi
01727303-a	hutan	msa	hannahchoi
00212604-r	pernah	msa	hannahchoi
00019339-r	pernah	msa	hannahchoi
08884961-n	surrey	msa	fcbond
90000031-n	Festival Tiongchupia	ntumc	nurizdihar
80000848-a	open-flamed	ntumc	nurizdihar
00049003-n	masuk	ntumc	hannahchoi
90000228-n	Orchard	ntumc	hannahchoi
01777210-v	seperti	msa	hannahchoi
01824736-v	seperti	msa	hannahchoi
90000016-n	China Singapura	ntumc	hannahchoi
01617192-v	buatan	msa	hannahchoi
00931847-n	buatan	msa	hannahchoi
80001040-n	Topshop	ntumc	hannahchoi
00017881-r	seperti	ntumc	hannahchoi
05122557-n	yang terbesar	msa	hannahchoi
07815588-n	lada/merica	msa	hannahchoi
13832355-n	ke arah timur	msa	hannahchoi
80001116-n	keropok	ntumc	wangwenjie
77000018-n	kita	ntumc	fcbond
77000076-a	dua-duanya	pron	fcbond
77000076-a	kedua-duanya	pron	fcbond
77000076-a	keduanya	pron	fcbond
77000029-n	mereka	pron	lmorgado
09535255-n	KAMI	msa	davidmoeljadi
03255648-n	orang-orang	msa	davidmoeljadi
04143712-n	orang-orang	msa	davidmoeljadi
02129289-v	dilihat	msa	davidmoeljadi
02163746-v	dilihat	msa	davidmoeljadi
01833401-a	rang	msa	davidmoeljadi
00950592-a	isi	msa	davidmoeljadi
01643620-a	usia	msa	davidmoeljadi
01579128-a	lalu	msa	davidmoeljadi
01013279-a	lalu	msa	davidmoeljadi
09092497-n	aku	msa	hannahchoi
09092497-n	saya	msa	hannahchoi
06784966-n	kes	msa	davidmoeljadi
02129604-n	pak belang	msa	davidmoeljadi
00542120-v	kondisi	msa	davidmoeljadi
00542120-v	posisi	msa	davidmoeljadi
00043794-r	nya	msa	davidmoeljadi
00043794-r	-nya	msa	davidmoeljadi
11465888-n	jerebu	msa	davidmoeljadi
05675130-n	kesedaran	msa	davidmoeljadi
02737876-v	tempat	msa	lmorgado
02737876-v	menjadi ahli	msa	lmorgado
02737876-v	dipunyai	msa	lmorgado
00213794-v	boleh	msa	fcbond
00213794-v	bisa	msa	fcbond
14134623-n	hati	msa	hannahchoi
13776342-n	batu	msa	davidmoeljadi
01579128-a	lepas	msa	davidmoeljadi
15235126-n	saat	msa	davidmoeljadi
15235126-n	ketika	msa	davidmoeljadi
05131023-n	jauhnya	msa	davidmoeljadi
05129565-n	perpisahan	msa	davidmoeljadi
05129565-n	jauh	msa	davidmoeljadi
05129565-n	berjauhan	msa	davidmoeljadi
05129565-n	berjarak	msa	davidmoeljadi
00043003-r	oleh kerana itu	msa	davidmoeljadi
00043003-r	kerana itu	msa	davidmoeljadi
02402825-v	bisa	msa	davidmoeljadi
02402825-v	dapat	msa	davidmoeljadi
02402825-v	disingkir	msa	davidmoeljadi
02402825-v	mengalengkan	msa	davidmoeljadi
00213794-v	dapat	msa	davidmoeljadi
00213794-v	sanggup	msa	davidmoeljadi
00213794-v	berupaya	msa	davidmoeljadi
02544048-a	yg mengerikan	msa	hannahchoi
02544048-a	yang mengerikan	msa	hannahchoi
01046932-v	lolongan	ntumc	hannahchoi
13750415-n	ratus,ratus	msa	davidmoeljadi
02717472-v	membayang-bayangkan	msa	davidmoeljadi
09540430-n	sprite	msa	davidmoeljadi
10476086-n	banduan	msa	davidmoeljadi
01638438-a	orang perempuan tua	msa	davidmoeljadi
00067129-v	menangis tersedu-sedu	msa	davidmoeljadi
08629508-n	bahagian belakang	msa	davidmoeljadi
00781000-v	meneruskan pekerjaan	msa	davidmoeljadi
13849710-n	ratusan	msa	davidmoeljadi
13746512-n	dasawarsa	msa	davidmoeljadi
13746512-n	dekade	msa	davidmoeljadi
01712704-v	menunjukkan prestasi	msa	davidmoeljadi
01712704-v	menunjukkan permainan	msa	davidmoeljadi
02684924-v	meneruskan pekerjaan	msa	davidmoeljadi
02747709-v	melanjutkan	msa	davidmoeljadi
02747709-v	meneruskan	msa	davidmoeljadi
02747709-v	diteruskan	msa	davidmoeljadi
00180756-r	ke samping	msa	davidmoeljadi
00180756-r	ke sisi	msa	davidmoeljadi
00180756-r	ke tepi	msa	davidmoeljadi
00180756-r	jarak antara	msa	davidmoeljadi
00180756-r	dalam jarak	msa	davidmoeljadi
00180756-r	terasing	msa	davidmoeljadi
00180756-r	ke sebelah	msa	davidmoeljadi
00950002-a	di luar	msa	davidmoeljadi
00950002-a	ke luar	msa	davidmoeljadi
02669081-v	di luar	msa	davidmoeljadi
01692222-a	di luar	msa	davidmoeljadi
08613593-n	di luar	msa	davidmoeljadi
08613593-n	kelihatannya	msa	davidmoeljadi
08613593-n	nampaknya	msa	davidmoeljadi
08613593-n	bahagian luar	msa	davidmoeljadi
00045607-r	di sebelah sana	msa	davidmoeljadi
00045607-r	di seberang sana	msa	davidmoeljadi
00232862-r	di luar	msa	davidmoeljadi
01692969-a	di luar	msa	davidmoeljadi
01692969-a	ke luar	msa	davidmoeljadi
00488187-a	jarang sekali terdapat	msa	davidmoeljadi
00488187-a	jarang sekali terdapat,luar biasa	msa	davidmoeljadi
00488187-a	menghairankan	msa	davidmoeljadi
00488187-a	di luar dugaan	msa	davidmoeljadi
06802571-n	bunga-bunga	msa	davidmoeljadi
06802571-n	orang yang mendahului	msa	davidmoeljadi
06802571-n	tanda akan datangnya	msa	davidmoeljadi
06802571-n	orang yg mendahului	msa	davidmoeljadi
13988498-n	negara	msa	davidmoeljadi
13988498-n	menyatakan	msa	davidmoeljadi
10021892-n	Dr	msa	davidmoeljadi
01208797-n	terima kasih	msa	wangwenjie
00018043-r	tanggung jawab	msa	davidmoeljadi
00018043-r	baik	msa	davidmoeljadi
02603699-v	insan	msa	davidmoeljadi
02603699-v	orang	msa	davidmoeljadi
02603699-v	makhluk	msa	davidmoeljadi
02603699-v	manusia	msa	davidmoeljadi
02603699-v	kelihatan	msa	davidmoeljadi
02603699-v	wujud	msa	davidmoeljadi
02603699-v	berdiri	msa	davidmoeljadi
02603699-v	nampak	msa	davidmoeljadi
80001270-v	tiada	ntumc	davidmoeljadi
06339416-n	gelaran	msa	davidmoeljadi
00294245-v	menjadi makmur	msa	davidmoeljadi
00294245-v	berkembang	msa	davidmoeljadi
00294245-v	bermayang	msa	davidmoeljadi
00294245-v	bunga	msa	davidmoeljadi
00294245-v	memekar	msa	davidmoeljadi
02676054-v	berhubungan	ntumc	hannahchoi
01111570-v	kembali ke	msa	hannahchoi
03974215-n	ujung	ntumc	hannahchoi
00005526-v	dada menampi	msa	davidmoeljadi
00005526-v	berembus	msa	davidmoeljadi
00005526-v	beralun	msa	davidmoeljadi
01380122-v	menyebarluaskan	msa	davidmoeljadi
01380122-v	menyebarkan	msa	davidmoeljadi
01380122-v	menyebabkan merebak	msa	davidmoeljadi
01380122-v	menyemaikan	msa	davidmoeljadi
01380122-v	membuyarkan	msa	davidmoeljadi
01380122-v	menularkan	msa	davidmoeljadi
01380122-v	memindahkan	msa	davidmoeljadi
01380122-v	merentangkan	msa	davidmoeljadi
01380122-v	propaganda	msa	davidmoeljadi
01380122-v	menghamburkan	msa	davidmoeljadi
01380122-v	membabarkan	msa	davidmoeljadi
01380122-v	memindahi	msa	davidmoeljadi
14924602-n	jed	msa	davidmoeljadi
08588294-n	di dlm	msa	davidmoeljadi
08588294-n	di dalam	msa	davidmoeljadi
00117620-r	maka	msa	davidmoeljadi
02655135-v	orang	msa	davidmoeljadi
02655135-v	insan	msa	davidmoeljadi
02655135-v	makhluk	msa	davidmoeljadi
02655135-v	manusia	msa	davidmoeljadi
02655135-v	kelihatan	msa	davidmoeljadi
02655135-v	nampak	msa	davidmoeljadi
00350104-v	memulai lagi	msa	davidmoeljadi
00350104-v	menyambung semula	msa	davidmoeljadi
00350104-v	meneruskan lagi	msa	davidmoeljadi
03299261-n	lainnya	pron	davidmoeljadi
02531088-v	bersusah payah utk	msa	davidmoeljadi
02531088-v	berusaha bersungguh-sungguh utk	msa	davidmoeljadi
01915365-v	memasukkan dan mengeluarkan barang-barang transit	msa	davidmoeljadi
08489497-n	di sini	msa	takkur
08489497-n	disini	msa	takkur
08489497-n	lokasi ini	msa	takkur
08489497-n	tempat ini	msa	takkur
00047392-r	juga	msa	hannahchoi
00047392-r	yg amat	msa	hannahchoi
01320872-n	wanita	msa	fcbond
00583246-n	memanggil	msa	hannahchoi
01031256-v	kirimkan	ntumc	hannahchoi
00931852-v	maksudkan	ntumc	hannahchoi
00955148-v	maksudkan	msa	hannahchoi
01824244-a	lebih keras	msa	hannahchoi
03584829-n	besi	msa	hannahchoi
07663899-n	perkedel	ntumc	wangwenjie
04557648-n	bohongan	msa	hannahchoi
02342899-a	baik sekali	msa	hannahchoi
01020005-v	katanya	msa	hannahchoi
08964647-n	West Malaysia	msa	wangwenjie
09617867-n	ahli dlm sst bidang	msa	hannahchoi
14483917-n	can	msa	hannahchoi
00654885-n	heran	msa	hannahchoi
04054213-n	mrt singapura	msa	wangwenjie
90000325-n	belacan	ntumc	wangwenjie
90000325-n	belachan	ntumc	wangwenjie
90000325-n	terasi	ntumc	wangwenjie
90000325-n	terasie	ntumc	wangwenjie
90000325-n	trassi	ntumc	wangwenjie
00071840-r	dari	msa	hannahchoi
00071840-r	terhadap	msa	hannahchoi
00071840-r	rata-rata	msa	hannahchoi
00071840-r	kira-kira	msa	hannahchoi
00071840-r	tentang	msa	hannahchoi
00071840-r	lebih kurang	msa	hannahchoi
00071840-r	menjelang	msa	hannahchoi
00193194-r	dari	msa	hannahchoi
00193194-r	daripada	msa	hannahchoi
01645601-v	aktiviti	msa	hannahchoi
00071840-r	di sekitar	msa	hannahchoi
01645601-v	berbuat	msa	hannahchoi
01645601-v	kerja	msa	hannahchoi
01645601-v	menimbulkan sst	msa	hannahchoi
01664172-v	bercadang	msa	hannahchoi
01664172-v	berhadir	msa	hannahchoi
01645601-v	menimbulkan sesuatu	msa	hannahchoi
01645601-v	menyebabkan timbulnya sesuatu	msa	hannahchoi
01645601-v	menyebabkan timbulnya sst	msa	hannahchoi
01645601-v	terjadi	msa	hannahchoi
01645601-v	membuatkan	msa	hannahchoi
01712704-v	berbuat	msa	hannahchoi
02560585-v	aktiviti	msa	hannahchoi
02560585-v	membentuk watak	msa	hannahchoi
02560585-v	membuatkan	msa	hannahchoi
02560585-v	berbuat	msa	hannahchoi
02561995-v	aktiviti	msa	hannahchoi
02568672-v	berlatih	msa	hannahchoi
02568672-v	latih	msa	hannahchoi
02568672-v	latihan	msa	hannahchoi
07886572-n	bru	msa	hannahchoi
07886572-n	membuat	msa	hannahchoi
07886572-n	buat	msa	hannahchoi
00233687-r	dengan	msa	hannahchoi
00233687-r	tangeh	msa	hannahchoi
00417787-r	dengan	msa	hannahchoi
13137409-n	sejenis buah	msa	hannahchoi
00110533-r	bahagian dalam	msa	hannahchoi
00110533-r	di dalam	msa	hannahchoi
00110533-r	di sebelah dalam	msa	hannahchoi
00110533-r	ke dalam	msa	hannahchoi
00110533-r	sebelah dalam	msa	hannahchoi
00110533-r	kanan	msa	hannahchoi
00110533-r	kiri	msa	hannahchoi
00305821-r	terlalu membebani	msa	hannahchoi
00948985-a	sebelah dalam	msa	hannahchoi
00950272-a	bhg dalam	msa	hannahchoi
00950272-a	bhg dlm	msa	hannahchoi
00950592-a	bahagian dalam	msa	hannahchoi
00950592-a	di dalam	msa	hannahchoi
00950592-a	ke dalam	msa	hannahchoi
00950592-a	di	msa	hannahchoi
00951831-a	bhg dalam	msa	hannahchoi
00951831-a	bhg dlm	msa	hannahchoi
00951831-a	di dalam	msa	hannahchoi
00951831-a	di dlm	msa	hannahchoi
01456710-a	pepak	msa	hannahchoi
01456710-a	bunting	msa	hannahchoi
01456710-a	tepu	msa	hannahchoi
01651741-a	dalam	msa	hannahchoi
01863066-a	mempunyai hak istimewa	msa	hannahchoi
08588152-n	bahagian dalam	msa	hannahchoi
08588152-n	di dalam	msa	hannahchoi
08588152-n	di dlm	msa	hannahchoi
08588152-n	bhg dalam	msa	hannahchoi
08588152-n	dlm hati	msa	hannahchoi
08588152-n	bhg dlm	msa	hannahchoi
08588152-n	dlm negeri	msa	hannahchoi
08588152-n	sebelah dalam	msa	hannahchoi
08588152-n	dalam negeri	msa	hannahchoi
08588152-n	dalam hati	msa	hannahchoi
08588152-n	sebelah dlm,dlm	msa	hannahchoi
08588152-n	domestik	msa	hannahchoi
08588152-n	batin	msa	hannahchoi
09263811-n	dalam	msa	hannahchoi
00069472-r	di	msa	hannahchoi
00069472-r	pada	msa	hannahchoi
00069472-r	atas	msa	hannahchoi
00085002-r	di	msa	hannahchoi
00085002-r	ke	msa	hannahchoi
00085002-r	tempat lain	msa	hannahchoi
00249736-r	di	msa	hannahchoi
00249736-r	di dalam	msa	hannahchoi
00249736-r	di sampingnya	msa	hannahchoi
00249736-r	di sebelahnya	msa	hannahchoi
00249736-r	di sisinya	msa	hannahchoi
00249736-r	ke atas	msa	hannahchoi
00249736-r	ke dalam	msa	hannahchoi
00501990-r	atas	msa	hannahchoi
00501990-r	di	msa	hannahchoi
00501990-r	pada	msa	hannahchoi
01651196-a	pada	msa	hannahchoi
01651196-a	ditarik	msa	hannahchoi
01651196-a	di	msa	hannahchoi
01651196-a	atas	msa	hannahchoi
00004475-n	badan yg menjalankan tugas	msa	hannahchoi
00004475-n	benda hidup	msa	hannahchoi
00004475-n	orang	msa	hannahchoi
00004475-n	manusia	msa	hannahchoi
00004475-n	insan	msa	hannahchoi
00007846-n	ada orang	msa	hannahchoi
00007846-n	orang perseorangan	msa	hannahchoi
00007846-n	sso yg dipandang tinggi	msa	hannahchoi
00007846-n	unik	msa	hannahchoi
02472987-n	lelaki	msa	hannahchoi
02472987-n	orang dari golongan atasan	msa	hannahchoi
02472987-n	sso yg dipandang tinggi	msa	hannahchoi
02604760-v	insan	msa	hannahchoi
02604760-v	makhluk	msa	hannahchoi
02604760-v	manusia	msa	hannahchoi
02604760-v	mempunyai ukuran	msa	hannahchoi
02604760-v	orang	msa	hannahchoi
02604760-v	berukuran	msa	hannahchoi
02614181-v	insan	msa	hannahchoi
02614181-v	makhluk	msa	hannahchoi
02614181-v	manusia	msa	hannahchoi
02614181-v	orang	msa	hannahchoi
02620587-v	insan	msa	hannahchoi
02620587-v	makhluk	msa	hannahchoi
02620587-v	manusia	msa	hannahchoi
02620587-v	mewakili	msa	hannahchoi
02620587-v	orang	msa	hannahchoi
02620587-v	terdiri daripada	msa	hannahchoi
02664769-v	orang	msa	hannahchoi
02664769-v	makhluk	msa	hannahchoi
02664769-v	insan	msa	hannahchoi
02664769-v	mempunyai ukuran	msa	hannahchoi
02664769-v	manusia	msa	hannahchoi
02697725-v	insan	msa	hannahchoi
02697725-v	makhluk	msa	hannahchoi
02697725-v	manusia	msa	hannahchoi
02697725-v	orang	msa	hannahchoi
02702508-v	dihargai	msa	hannahchoi
02702508-v	insan	msa	hannahchoi
02702508-v	makhluk	msa	hannahchoi
02702508-v	manusia	msa	hannahchoi
02702508-v	menghargakan	msa	hannahchoi
02702508-v	nampak	msa	hannahchoi
02702508-v	orang	msa	hannahchoi
03471974-n	lelaki	msa	hannahchoi
03471974-n	orang	msa	hannahchoi
03471974-n	orang lelaki	msa	hannahchoi
07942152-n	khalayak ramai	msa	hannahchoi
09908025-n	muda	msa	hannahchoi
